sa4_code_2021, med_person_inc_we_c2011, med_tot_hh_inc_wee_c2021, med_person_inc_we_c2016, med_rent_weekly_c2016, average_hh_size_c2016, med_age_persns_c2021, med_rent_weekly_c2011, med_tot_hh_inc_wee_c2016, med_rent_weekly_c2021, med_mortg_rep_mon_c2021, med_person_inc_we_c2021, med_tot_hh_inc_wee_c2011, average_hh_size_c2011, average_hh_size_c2021, avg_num_p_per_brm_c2021, med_age_persns_c2016, med_mortg_rep_mon_c2016, med_famly_inc_we_c2016, med_age_persns_c2011, med_mortg_rep_mon_c2011, avg_num_p_per_brm_c2016, med_famly_inc_we_c2011, med_famly_inc_we_c2021, avg_num_p_per_brm_c2011
"101",551.0,1544,655.0,260,2.4,45.0,220,1228,320,1733,797.0,1033,2.4,2.4,0.8,44.0,1625,1561,42.0,1608,0.8,1314,2013,0.8
"102",502.0,1507,600.0,350,2.5,43.0,275,1258,400,2000,727.0,1003,2.5,2.5,0.8,42.0,1750,1560,41.0,1820,0.8,1284,1954,0.8
"103",496.0,1434,594.0,245,2.4,41.0,190,1166,290,1517,738.0,973,2.5,2.4,0.7,41.0,1500,1473,39.0,1456,0.8,1254,1898,0.8
"104",434.0,1254,520.0,290,2.4,46.0,245,1013,350,1595,637.0,835,2.4,2.4,0.8,46.0,1500,1249,44.0,1452,0.8,998,1541,0.8
"105",480.0,1377,590.0,200,2.4,39.0,150,1110,250,1300,743.0,893,2.4,2.4,0.8,40.0,1278,1386,39.0,1200,0.8,1121,1787,0.8
"106",527.0,1557,599.0,300,2.6,40.0,250,1286,350,1733,733.0,1158,2.6,2.5,0.8,39.0,1733,1548,38.0,1733,0.8,1407,1925,0.8
"107",493.0,1684,591.0,335,2.6,40.0,250,1352,400,2167,753.0,1116,2.6,2.5,0.8,39.0,1950,1679,38.0,1950,0.8,1413,2109,0.8
"108",405.0,1132,491.0,275,2.3,50.0,220,936,330,1521,591.0,774,2.3,2.3,0.7,50.0,1450,1174,47.0,1417,0.8,940,1421,0.8
"109",501.0,1341,600.0,210,2.3,44.0,175,1116,250,1300,724.0,921,2.4,2.3,0.7,43.0,1300,1422,41.0,1300,0.8,1188,1780,0.8
"110",479.0,1328,579.0,240,2.4,41.0,182,1107,270,1361,702.0,902,2.4,2.4,0.7,41.0,1309,1378,40.0,1300,0.8,1123,1719,0.8
"111",536.0,1676,628.0,332,2.5,40.0,270,1331,390,1950,793.0,1133,2.5,2.5,0.8,40.0,1733,1670,39.0,1733,0.8,1443,2129,0.8
"112",455.0,1329,550.0,310,2.4,46.0,275,1069,380,1733,682.0,865,2.4,2.4,0.8,46.0,1600,1333,44.0,1600,0.8,1061,1700,0.8
"113",521.0,1480,643.0,230,2.5,39.0,185,1232,270,1387,776.0,994,2.5,2.5,0.8,39.0,1365,1517,38.0,1387,0.8,1263,1898,0.8
"114",463.0,1357,552.0,300,2.4,48.0,231,1091,360,1820,683.0,895,2.4,2.4,0.7,48.0,1625,1340,46.0,1603,0.7,1097,1722,0.7
"115",705.0,2703,801.0,560,3.1,39.0,450,2270,580,2905,988.0,1994,3.1,3.1,0.8,39.0,2500,2397,38.0,2500,0.8,2163,2893,0.8
"116",566.0,2109,672.0,380,3.2,34.0,300,1712,400,2383,833.0,1388,3.1,3.1,0.9,33.0,2150,1818,32.0,2100,0.9,1492,2252,0.9
"117",797.0,2207,904.0,550,2.2,34.0,440,1894,550,2700,1174.0,1568,2.1,2.1,1.1,33.0,2500,2369,33.0,2500,1.1,2039,2887,1.1
"118",869.0,2513,1020.0,590,2.4,37.0,480,2163,600,3298,1296.0,1806,2.3,2.3,1.0,35.0,2900,2756,35.0,2817,1.0,2368,3404,1.0
"119",484.0,1734,565.0,420,2.9,37.0,340,1431,440,2300,706.0,1169,2.8,2.8,1.0,35.0,2167,1576,36.0,2127,1.1,1315,1972,1.0
"120",723.0,2250,828.0,500,2.6,37.0,420,1964,500,2780,1032.0,1662,2.5,2.5,1.0,36.0,2500,2282,36.0,2500,1.0,1985,2757,1.0
"121",897.0,2623,1029.0,560,2.6,40.0,474,2333,560,3000,1218.0,2111,2.6,2.5,0.9,38.0,2600,2814,38.0,2726,1.0,2558,3309,0.9
"122",779.0,2592,916.0,575,2.7,41.0,465,2178,625,3124,1109.0,1812,2.6,2.7,0.9,40.0,2800,2528,39.0,2800,0.9,2188,3131,0.9
"123",591.0,1916,686.0,365,3.0,35.0,280,1637,400,2167,804.0,1389,3.0,2.9,0.8,35.0,2000,1794,34.0,1993,0.9,1543,2136,0.9
"124",613.0,1854,715.0,370,2.7,37.0,295,1589,400,2167,853.0,1347,2.7,2.7,0.8,37.0,1950,1852,36.0,1950,0.8,1580,2194,0.8
"125",501.0,1828,586.0,420,3.0,34.0,340,1520,430,2200,741.0,1237,2.9,2.8,1.1,33.0,2037,1631,33.0,2037,1.1,1360,2027,1.0
"126",659.0,2206,760.0,475,2.7,38.0,381,1919,480,2670,982.0,1603,2.7,2.6,1.0,37.0,2383,2236,38.0,2400,1.0,1991,2641,0.9
"127",426.0,1713,500.0,370,3.3,35.0,295,1429,405,2200,620.0,1171,3.2,3.2,1.0,35.0,2000,1489,34.0,2000,1.0,1235,1850,1.0
"128",718.0,2286,836.0,450,2.7,41.0,375,1979,500,2618,1017.0,1672,2.7,2.7,0.9,40.0,2427,2312,39.0,2400,0.9,2013,2757,0.9
"201",482.0,1376,559.0,248,2.4,42.0,200,1098,290,1430,705.0,935,2.4,2.4,0.7,42.0,1300,1409,40.0,1300,0.8,1188,1800,0.8
"202",500.0,1432,593.0,255,2.4,43.0,200,1160,300,1452,729.0,963,2.4,2.4,0.7,42.0,1382,1443,40.0,1300,0.8,1220,1864,0.8
"203",528.0,1658,616.0,290,2.5,40.0,240,1287,350,1733,787.0,1079,2.5,2.5,0.8,40.0,1560,1615,39.0,1517,0.8,1366,2100,0.8
"204",506.0,1373,599.0,231,2.4,45.0,190,1124,275,1430,734.0,942,2.4,2.3,0.7,44.0,1300,1417,42.0,1300,0.8,1192,1798,0.8
"205",473.0,1260,540.0,226,2.3,46.0,185,1048,270,1343,653.0,908,2.4,2.3,0.7,45.0,1300,1338,42.0,1300,0.7,1155,1636,0.8
"206",796.0,2006,883.0,408,2.1,34.0,360,1699,401,2167,1137.0,1506,2.1,2.0,1.0,33.0,2100,2323,33.0,2167,1.0,2070,2833,1.0
"207",636.0,2059,707.0,401,2.6,40.0,360,1756,441,2500,873.0,1561,2.6,2.6,0.8,39.0,2167,2183,39.0,2167,0.9,1983,2552,0.9
"208",691.0,2174,802.0,391,2.5,41.0,340,1793,438,2400,1022.0,1491,2.5,2.5,0.9,40.0,2167,2309,39.0,2160,0.9,1995,2868,0.9
"209",558.0,1887,645.0,337,2.8,37.0,300,1525,380,2000,807.0,1323,2.8,2.7,0.8,36.0,1829,1767,36.0,1863,0.9,1526,2198,0.9
"210",499.0,1791,579.0,330,2.9,35.0,295,1422,380,1924,732.0,1210,2.9,2.9,0.9,35.0,1733,1598,36.0,1733,0.9,1366,2031,0.9
"211",596.0,1907,674.0,350,2.7,40.0,300,1559,396,2000,816.0,1353,2.7,2.6,0.8,39.0,1768,1851,38.0,1733,0.8,1599,2257,0.8
"212",516.0,1811,586.0,340,2.9,35.0,295,1444,380,1963,745.0,1232,2.9,2.9,0.9,35.0,1733,1593,35.0,1733,0.9,1377,2004,0.9
"213",551.0,1867,625.0,320,2.9,34.0,277,1486,361,1900,786.0,1278,2.8,2.9,0.9,34.0,1733,1644,33.0,1733,0.9,1427,2077,0.9
"214",551.0,1604,643.0,310,2.5,44.0,265,1303,361,1900,780.0,1098,2.5,2.4,0.7,42.0,1700,1635,40.0,1700,0.8,1372,2076,0.8
"215",466.0,1274,549.0,195,2.3,44.0,160,1014,231,1098,688.0,853,2.4,2.3,0.7,44.0,1083,1306,42.0,1083,0.8,1074,1658,0.8
"216",480.0,1314,565.0,220,2.4,43.0,180,1105,250,1300,679.0,914,2.5,2.4,0.8,43.0,1300,1364,40.0,1300,0.8,1129,1663,0.8
"217",504.0,1335,582.0,220,2.4,45.0,185,1103,250,1300,715.0,951,2.4,2.3,0.7,44.0,1300,1411,41.0,1258,0.8,1217,1768,0.8
"301",636.0,1890,717.0,400,2.7,42.0,355,1602,420,2000,837.0,1417,2.7,2.6,0.8,40.0,2000,1902,38.0,2032,0.8,1668,2245,0.8
"302",675.0,1951,772.0,370,2.5,37.0,330,1622,395,1970,932.0,1396,2.5,2.5,0.8,37.0,1950,1977,37.0,2000,0.8,1712,2385,0.8
"303",634.0,2022,700.0,390,2.7,35.0,350,1678,405,2000,875.0,1463,2.7,2.7,0.8,34.0,2000,1930,34.0,2000,0.8,1722,2309,0.8
"304",718.0,2316,779.0,410,2.7,38.0,370,1971,420,2167,969.0,1805,2.7,2.7,0.8,36.0,2134,2322,35.0,2167,0.8,2170,2790,0.8
"305",858.0,2155,938.0,420,2.3,34.0,375,1921,425,2200,1132.0,1763,2.3,2.2,0.9,33.0,2200,2495,32.0,2340,0.9,2349,2968,0.9
"306",567.0,1445,642.0,280,2.5,41.0,249,1226,310,1517,748.0,1058,2.5,2.4,0.8,39.0,1597,1475,37.0,1664,0.8,1294,1806,0.9
"307",504.0,1280,582.0,230,2.5,42.0,200,1129,250,1300,674.0,955,2.5,2.4,0.8,41.0,1300,1366,39.0,1300,0.8,1157,1582,0.8
"308",633.0,1626,664.0,250,2.6,38.0,250,1421,280,1517,786.0,1405,2.6,2.5,0.8,36.0,1733,1740,35.0,1777,0.8,1676,2035,0.8
"309",570.0,1692,665.0,395,2.6,39.0,355,1404,450,1950,785.0,1173,2.5,2.5,0.8,39.0,1950,1655,38.0,2058,0.8,1377,2009,0.8
"310",557.0,1615,626.0,310,2.8,35.0,280,1362,335,1600,749.0,1190,2.8,2.7,0.8,34.0,1603,1523,33.0,1733,0.8,1348,1869,0.8
"311",571.0,1593,629.0,335,2.9,35.0,300,1400,350,1733,730.0,1246,2.9,2.8,0.8,34.0,1733,1531,33.0,1800,0.8,1370,1809,0.8
"312",709.0,1843,717.0,260,2.5,38.0,285,1469,309,1712,878.0,1572,2.7,2.5,0.8,37.0,1876,1793,35.0,2015,0.8,1825,2201,0.9
"313",508.0,1383,572.0,320,2.6,42.0,290,1188,345,1733,675.0,1021,2.6,2.5,0.8,41.0,1719,1407,39.0,1800,0.8,1222,1686,0.8
"314",694.0,2017,758.0,365,2.9,36.0,340,1740,385,1900,888.0,1600,2.9,2.8,0.8,35.0,1928,1921,35.0,2000,0.8,1761,2238,0.8
"315",588.0,1576,648.0,150,2.7,34.0,120,1361,160,1300,789.0,1216,2.7,2.6,0.9,33.0,1500,1540,32.0,1500,0.9,1358,1868,1.0
"316",519.0,1574,612.0,380,2.5,44.0,330,1260,440,1907,750.0,1010,2.5,2.5,0.8,44.0,1777,1478,42.0,1863,0.8,1219,1903,0.8
"317",557.0,1502,649.0,290,2.5,37.0,240,1298,310,1517,758.0,1095,2.5,2.5,0.7,37.0,1560,1583,36.0,1517,0.8,1345,1892,0.8
"318",633.0,1621,672.0,285,2.5,37.0,270,1362,300,1517,826.0,1295,2.6,2.5,0.8,36.0,1668,1640,34.0,1733,0.8,1532,2016,0.8
"319",407.0,1096,478.0,255,2.4,49.0,230,935,280,1300,557.0,801,2.4,2.3,0.8,46.0,1300,1133,43.0,1322,0.8,944,1350,0.8
"401",626.0,1815,700.0,320,2.4,41.0,280,1472,355,1863,873.0,1290,2.4,2.4,0.8,40.0,1734,1967,40.0,1733,0.8,1735,2344,0.8
"402",515.0,1428,563.0,270,2.6,37.0,230,1180,300,1408,693.0,1039,2.5,2.6,0.8,36.0,1413,1407,36.0,1471,0.8,1252,1737,0.8
"403",569.0,1540,635.0,300,2.4,41.0,250,1284,320,1590,768.0,1130,2.4,2.4,0.8,41.0,1517,1622,40.0,1532,0.8,1439,2005,0.8
"404",520.0,1516,597.0,280,2.4,40.0,236,1194,310,1712,765.0,996,2.3,2.3,0.8,40.0,1625,1554,40.0,1625,0.8,1317,2020,0.8
"405",458.0,1183,535.0,200,2.3,48.0,170,1026,225,1180,627.0,862,2.3,2.3,0.7,47.0,1170,1318,44.0,1124,0.7,1091,1526,0.8
"406",528.0,1283,594.0,180,2.3,41.0,150,1111,190,1157,704.0,988,2.4,2.3,0.8,40.0,1250,1418,38.0,1257,0.8,1270,1688,0.8
"407",468.0,1162,544.0,200,2.3,48.0,165,997,230,1135,638.0,855,2.3,2.3,0.7,46.0,1127,1266,43.0,1170,0.7,1060,1480,0.8
"501",570.0,1478,637.0,300,2.5,43.0,250,1319,310,1640,739.0,1194,2.5,2.4,0.7,41.0,1733,1606,39.0,1733,0.7,1454,1891,0.8
"502",492.0,1286,553.0,320,2.4,45.0,270,1169,300,1733,630.0,992,2.4,2.4,0.7,43.0,1826,1437,42.0,1950,0.7,1263,1664,0.7
"503",867.0,2243,957.0,415,2.3,38.0,375,2039,400,2500,1144.0,1816,2.3,2.3,0.9,36.0,2448,2769,36.0,2420,0.9,2574,3239,0.9
"504",653.0,1817,717.0,350,2.6,37.0,310,1590,340,1863,846.0,1396,2.6,2.6,0.8,36.0,2000,1851,36.0,1950,0.8,1661,2164,0.8
"505",685.0,1921,746.0,380,2.7,38.0,340,1712,360,1950,871.0,1517,2.7,2.6,0.7,36.0,2037,2018,36.0,2000,0.8,1823,2302,0.8
"506",647.0,1796,691.0,360,2.7,36.0,320,1563,350,1800,821.0,1406,2.6,2.6,0.8,35.0,1950,1818,35.0,1950,0.8,1686,2139,0.8
"507",666.0,1897,732.0,370,2.6,38.0,320,1669,350,1900,871.0,1477,2.6,2.6,0.7,36.0,2000,1997,36.0,2000,0.8,1812,2298,0.8
"509",526.0,1339,623.0,230,2.4,46.0,180,1192,250,1403,718.0,973,2.4,2.3,0.7,44.0,1400,1481,41.0,1300,0.8,1221,1757,0.8
"510",1197.0,2396,1239.0,190,2.8,33.0,120,2202,200,1950,1281.0,2362,2.9,2.8,0.9,33.0,2443,2416,32.0,2383,1.0,2512,2795,1.0
