value_tot_resial_building_aud000, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, tot_dwl_num, sa4_name, value_non_resial_building_aud000, sa4_code, value_alterations_additions_conversions_resial_building_aud000
285191.2,753,402348.8,36028.5,224,202170.7,990,"Capital Region",117157.6,"101",46992.0
219283.8,499,337067.0,22555.8,132,135395.8,647,"Central Coast",117783.2,"102",61332.2
269806.0,777,447517.7,23569.8,124,215512.1,912,"Central West",177711.7,"103",30724.1
125984.4,337,227979.3,15229.9,71,82817.5,419,"Coffs Harbour - Grafton",101995.0,"104",27936.9
92616.9,280,190123.7,6557.7,33,72534.1,318,"Far West and Orana",97506.7,"105",13525.1
456428.7,1447,728588.0,53420.1,330,361965.8,1782,"Hunter Valley exc Newcastle",272159.3,"106",41042.9
276235.1,524,965284.5,69734.6,367,151212.5,896,"Illawarra",689049.3,"107",55288.0
218836.4,631,296396.1,27026.4,170,161178.1,809,"Mid North Coast",77559.7,"108",30632.0
148484.0,413,211418.6,13099.0,47,110578.5,464,"Murray",62934.6,"109",24806.5
171019.8,501,340552.2,13964.6,75,130746.3,580,"New England and North West",169532.3,"110",26309.0
394863.6,813,692414.5,66872.9,359,236213.5,1202,"Newcastle and Lake Macquarie",297550.9,"111",91777.3
209172.9,450,365050.6,32398.7,144,127316.5,606,"Richmond - Tweed",155877.8,"112",49457.6
139853.0,393,328666.9,10238.4,59,103989.1,452,"Riverina",188813.9,"113",25625.6
198190.4,528,297183.5,23279.1,110,139484.8,642,"Southern Highlands and Shoalhaven",98993.1,"114",35426.5
443706.0,538,657815.0,193499.1,524,200489.0,1069,"Sydney - Baulkham Hills and Hawkesbury",214109.0,"115",49717.9
342970.9,1112,544986.5,47355.8,308,278197.9,1421,"Sydney - Blacktown",202015.5,"116",17417.2
1106015.5,103,2833804.5,957933.4,3462,31155.7,3690,"Sydney - City and Inner South",1727789.0,"117",116926.4
499475.1,346,1119780.4,102955.4,276,207506.4,639,"Sydney - Eastern Suburbs",620305.3,"118",189013.4
720628.7,684,952437.1,420614.2,1685,218739.9,2398,"Sydney - Inner South West",231808.4,"119",81274.6
705990.4,182,797569.1,519001.3,2128,91784.3,2322,"Sydney - Inner West",91578.7,"120",95204.7
1017323.2,360,1630423.8,501672.4,1640,197559.8,2037,"Sydney - North Sydney and Hornsby",613100.6,"121",318091.1
476133.3,294,579559.3,128890.5,432,182663.7,733,"Sydney - Northern Beaches",103425.9,"122",164579.2
356212.6,1053,500605.8,53105.2,277,273210.9,1403,"Sydney - Outer South West",144393.2,"123",29896.6
348506.3,968,546067.1,40081.3,213,253529.6,1194,"Sydney - Outer West and Blue Mountains",197560.8,"124",54895.4
936684.6,690,1263020.2,725308.0,3505,178717.8,4237,"Sydney - Parramatta",326335.8,"125",32658.8
427762.5,273,611192.1,259424.6,952,111399.7,1230,"Sydney - Ryde",183429.7,"126",56938.2
453477.1,1380,728362.9,82347.1,485,349532.3,1885,"Sydney - South West",274885.8,"127",21597.7
186510.6,265,293011.5,23110.0,77,101099.8,352,"Sydney - Sutherland",106500.8,"128",62300.9
341888.6,1185,451332.6,32914.5,163,266997.9,1355,"Ballarat",109443.9,"201",41976.2
386715.2,1400,510419.6,16979.4,97,333039.0,1503,"Bendigo",123704.4,"202",36696.7
774805.9,2219,1176683.1,49803.6,261,608253.2,2487,"Geelong",401877.2,"203",116749.1
340688.3,1135,541772.3,14332.0,79,278683.9,1225,"Hume",201084.0,"204",47672.4
583215.4,1939,776294.1,24381.6,136,482661.1,2085,"Latrobe - Gippsland",193078.8,"205",76172.6
3603978.2,502,7396271.0,2810011.8,10107,269951.8,10875,"Melbourne - Inner",3792292.8,"206",524014.6
1067121.9,850,1873263.8,358976.2,1279,458215.0,2139,"Melbourne - Inner East",806141.8,"207",249930.8
1248722.4,869,1472178.8,582095.9,1930,396260.9,2851,"Melbourne - Inner South",223456.4,"208",270365.6
1232970.2,3547,1603340.8,235737.3,1316,877398.0,4921,"Melbourne - North East",370370.6,"209",119834.9
698497.8,1912,1239397.6,170236.4,1003,474849.9,2922,"Melbourne - North West",540899.8,"210",53411.5
632821.2,1388,959238.1,124877.0,646,376151.0,2051,"Melbourne - Outer East",326416.9,"211",131793.2
1425611.8,4576,2135102.0,229650.5,1106,1105924.2,5705,"Melbourne - South East",709490.2,"212",90036.9
1597659.0,5022,2287264.0,280194.1,1575,1214039.4,6629,"Melbourne - West",689605.0,"213",103425.6
663840.5,1419,847352.4,64940.7,344,465411.8,1777,"Mornington Peninsula",183512.0,"214",133487.9
172024.4,587,303376.3,4552.0,20,140958.5,609,"North West",131351.9,"215",26513.9
170940.0,592,258223.2,1423.3,34,148299.5,629,"Shepparton",87283.3,"216",21217.2
219879.4,681,310409.9,5373.4,28,177780.3,719,"Warrnambool and South West",90530.5,"217",36725.7
260572.0,773,378108.7,14609.0,83,203901.7,858,"Brisbane - East",117536.6,"301",42061.4
342588.0,470,598277.5,154278.3,806,122932.9,1277,"Brisbane - North",255689.6,"302",65376.8
550499.3,644,1059829.9,212690.5,970,219777.5,1626,"Brisbane - South",509330.6,"303",118031.2
274102.9,416,762024.1,22372.6,106,153601.6,522,"Brisbane - West",487921.2,"304",98128.7
1074149.2,247,1847656.8,710747.8,2617,139827.4,2877,"Brisbane Inner City",773507.5,"305",223574.1
381824.5,851,552880.6,5561.9,37,224293.3,896,"Cairns",171056.2,"306",151969.3
210757.9,654,548544.1,21409.4,125,163494.1,783,"Darling Downs - Maranoa",337786.1,"307",25854.4
576841.4,1570,1019358.8,96372.5,500,436630.4,2071,"Fitzroy",442517.5,"308",43838.5
668950.9,1382,1326220.8,177200.7,940,411166.9,2328,"Gold Coast",657269.8,"309",80583.3
523804.7,1832,970253.7,76150.1,550,406637.7,2387,"Ipswich",446449.0,"310",41016.9
326074.0,1065,457467.3,69444.8,452,217593.9,1517,"Logan - Beaudesert",131393.3,"311",39035.3
571869.7,1469,912013.5,94444.9,414,426433.9,1889,"Mackay",340143.8,"312",50990.8
316370.3,830,380694.3,100328.2,491,188635.1,1336,"Moreton Bay - North",64324.0,"313",27407.0
307616.0,1047,381776.9,43135.3,270,234494.1,1318,"Moreton Bay - South",74160.9,"314",29986.7
55470.3,158,217479.0,9461.0,65,37684.2,224,"Queensland - Outback",162008.8,"315",8325.1
566994.7,1245,884594.2,121563.6,531,364666.9,1789,"Sunshine Coast",317599.5,"316",80764.2
239156.9,727,357186.1,22767.9,145,181606.1,873,"Toowoomba",118029.2,"317",34783.0
461932.0,1378,1051305.8,25174.6,134,357727.8,1532,"Townsville",589373.8,"318",79029.6
350119.0,1390,462744.4,12227.5,76,298761.7,1468,"Wide Bay",112625.4,"319",39129.8
412683.0,824,3350013.8,49932.4,213,232973.9,1044,"Adelaide - Central and Hills",2937330.8,"401",129776.7
486609.6,2163,861289.1,53218.5,361,402437.5,2530,"Adelaide - North",374679.5,"402",30953.6
401780.2,1123,700022.9,75077.7,468,250560.1,1605,"Adelaide - South",298242.7,"403",76142.4
300678.9,636,496123.4,130679.0,555,132474.9,1194,"Adelaide - West",195444.5,"404",37524.9
