value_tot_resial_building_aud000, sa4_code16, new_houses_num, value_tot_building_aud000, value_new_oth_resial_building_aud000, new_oth_resial_building_num, value_new_houses_aud000, sa4_name16, tot_dwl_num, value_non_resial_building_aud000, value_alterations_additions_conversions_resial_building_aud000
529796.7,101,1177,679355.9,50956.6,231,412400.9,"Capital Region",1423,149559.2,66439.2
562853.1,102,842,787522.7,212056.6,764,260558.4,"Central Coast",1620,224669.7,90238.1
299594.3,103,687,815744.4,31909.1,137,222229.2,"Central West",833,516150.1,45456.1
267026.1,104,464,557633.8,91680.1,340,145367.5,"Coffs Harbour - Grafton",823,290607.7,29978.5
125743.6,105,281,279632.8,21668.0,103,91212.3,"Far West and Orana",386,153889.2,12863.3
696265.4,106,1834,1095933.4,56571.8,261,590281.1,"Hunter Valley exc Newcastle",2102,399668.0,49412.6
989327.5,107,1227,1378165.0,447934.4,1458,448444.8,"Illawarra",2701,388837.5,92948.3
401074.3,108,877,608282.5,75155.7,293,276837.8,"Mid North Coast",1180,207208.2,49080.8
239717.2,109,558,298409.5,13427.0,53,193644.5,"Murray",613,58692.2,32645.8
176814.6,110,425,384171.6,9243.9,50,142162.6,"New England and North West",475,207357.0,25408.0
1027549.0,111,1011,1502814.9,498138.7,1479,377706.0,"Newcastle and Lake Macquarie",2532,475265.9,151704.4
471493.9,112,909,654369.8,101548.9,418,308951.2,"Richmond - Tweed",1353,182875.9,60993.8
239329.4,113,557,490714.4,14724.0,64,189304.5,"Riverina",623,251385.0,35300.9
529309.0,114,953,667908.0,94827.3,366,356961.6,"Southern Highlands and Shoalhaven",1330,138599.0,77520.1
1216591.9,115,1781,1498196.8,343811.0,1055,802833.6,"Sydney - Baulkham Hills and Hawkesbury",2852,281604.9,69947.3
1449082.0,116,3133,2226101.2,539161.9,2113,889173.7,"Sydney - Blacktown",5260,777019.3,20746.3
1258638.2,117,115,5293320.0,1046351.5,3043,48177.8,"Sydney - City and Inner South",3242,4034681.5,164108.9
1082133.8,118,156,1368667.5,512276.6,795,217594.2,"Sydney - Eastern Suburbs",998,286533.8,352262.9
965549.8,119,1005,1562041.5,575797.7,1844,306989.7,"Sydney - Inner South West",2900,596491.6,82762.4
674339.1,120,273,1077143.9,331383.5,1035,167305.1,"Sydney - Inner West",1324,402804.8,175650.5
