new_houses_no, value_of_non_residential_building_000, value_of_total_residential_building_000, vle_altrtns_addtns_incldng_cnvrsns_rsdntl_bldng_000, sa4_name, value_of_new_other_residential_building_000, sa4_code, new_other_residential_building_no, value_of_total_building_000, value_of_new_houses_000, total_dwellings_no
1042,221960.0,550585.4,71614.0,"Capital Region",91528.8,"101",332,772545.4,387442.6,1384
1008,266562.7,557046.8,119024.7,"Central Coast",100162.4,"102",342,823609.5,337859.7,1359
830,194059.4,413911.6,73408.3,"Central West",34095.0,"103",134,607971.0,306408.3,970
550,200604.9,312106.2,45369.8,"Coffs Harbour - Grafton",79916.0,"104",202,512711.1,186820.3,761
428,177348.7,177022.3,20600.6,"Far West and Orana",24053.4,"105",91,354371.0,132368.3,519
2090,318630.1,986766.9,74699.8,"Hunter Valley exc Newcastle",213403.4,"106",921,1305397.1,698663.7,3018
1238,328985.5,973989.2,123663.6,"Illawarra",393593.0,"107",1236,1302974.7,456732.7,2485
1065,125907.5,545407.4,73510.0,"Mid North Coast",110903.3,"108",342,671314.8,360994.0,1430
1015,132442.2,425810.8,44711.8,"Murray",7317.2,"109",29,558253.0,373781.8,1045
572,96360.6,264903.4,47828.6,"New England and North West",12851.8,"110",66,361264.0,204223.0,654
1319,476581.5,1079296.2,200314.6,"Newcastle and Lake Macquarie",377527.5,"111",1167,1555877.6,501454.2,2497
904,938877.3,552177.0,93451.9,"Richmond - Tweed",119194.2,"112",347,1491054.3,339530.8,1278
740,225107.6,342834.2,53952.2,"Riverina",17289.5,"113",71,567941.8,271592.5,814
833,133587.7,589856.3,91995.5,"Southern Highlands and Shoalhaven",152926.7,"114",452,723444.0,344934.1,1299
2279,300611.8,1505251.0,97607.4,"Sydney - Baulkham Hills and Hawkesbury",453050.4,"115",1397,1805862.8,954593.2,3690
3551,834864.5,1909268.2,38017.5,"Sydney - Blacktown",870354.0,"116",3332,2744132.7,1000896.8,6899
103,4522118.0,1731755.6,215032.6,"Sydney - City and Inner South",1463555.0,"117",2803,6253873.7,53168.0,2921
124,304913.3,802321.5,427539.4,"Sydney - Eastern Suburbs",229207.3,"118",430,1107234.8,145574.8,582
1021,580007.5,1261930.7,128544.3,"Sydney - Inner South West",774448.8,"119",2313,1841938.2,358937.6,3375
298,280157.3,928642.2,192300.9,"Sydney - Inner West",530544.5,"120",1328,1208799.5,205796.8,1642
491,1706768.3,1375769.4,477151.5,"Sydney - North Sydney and Hornsby",459795.5,"121",1125,3082537.7,438822.4,1631
432,271787.5,840481.0,329767.4,"Sydney - Northern Beaches",231236.3,"122",466,1112268.5,279477.3,917
2132,363418.7,915466.9,46219.0,"Sydney - Outer South West",168831.8,"123",708,1278885.6,700416.1,2852
1034,471151.1,611329.2,87265.4,"Sydney - Outer West and Blue Mountains",168651.8,"124",681,1082480.2,355412.0,1732
