rsdntl_prty_prcs_yr_end_30_jne_atchd_dwlngs_nmbr_trnsf_nm, building_approvals_year_ended_30_june_private_sector_houses_num, bldng_apprvls_yr_endd_30_jne_ttl_vle_prvte_sctr_dwllng_unts_m, sa4_code_2016, bldng_apprvls_yr_endd_30_jne_vle_prvte_sctr_hss_m, building_approvals_year_ended_30_june_total_dwelling_units_num, rsdntl_prprty_prcs_yr_endd_30_jne_hss_mdn_sle_prce, rsdntl_prprty_prcs_yr_endd_30_jne_hss_nmbr_trnsfrs_nm, yr, rsdntl_prprty_prcs_yr_endd_30_jne_attchd_dwllngs_mdn_sle_prce, building_approvals_year_ended_30_june_value_residential_m, sa4_name_2016, bldng_apprvls_yr_endd_30_jne_prvte_sctr_dwllngs_excldng_hss_nm, bldng_aprvls_yr_end_30_jne_vle_prvte_sctr_dwlngs_excldng_hs_m, bldng_apprvls_yr_endd_30_jne_ttl_prvte_sctr_dwllng_unts_nm
925,1143,415,"101",384,1298,380000,4075,2015,270000,427,"Capital Region",153,30,1296
2016,848,374,"102",261,1428,490000,7369,2015,385000,399,"Central Coast",579,113,1427
283,889,293,"103",264,1045,298750,3658,2015,239000,300,"Central West",149,30,1038
645,469,172,"104",145,576,376900,2375,2015,272500,176,"Coffs Harbour - Grafton",107,27,576
91,349,124,"105",99,436,230000,1852,2015,252300,119,"Far West and Orana",73,25,422
746,1171,401,"106",345,1489,375000,4436,2015,315000,412,"Hunter Valley exc Newcastle",317,56,1488
1962,799,586,"107",310,2004,535000,4187,2015,430000,605,"Illawarra",1165,276,1964
1235,935,325,"108",281,1176,380000,4151,2015,280000,332,"Mid North Coast",241,45,1176
436,668,235,"109",217,761,260000,1930,2015,180000,241,"Murray",93,19,761
222,717,229,"110",210,877,283000,2861,2015,215000,243,"New England and North West",132,20,849
1659,1289,707,"111",461,2383,465000,6315,2015,399500,744,"Newcastle and Lake Macquarie",1094,245,2383
1859,995,404,"112",333,1257,462500,3699,2015,349000,412,"Richmond - Tweed",260,71,1255
263,574,193,"113",183,633,265000,2449,2015,235000,200,"Riverina",54,10,628
461,1026,386,"114",345,1288,430000,4147,2015,335000,400,"Southern Highlands and Shoalhaven",248,41,1274
815,1216,977,"115",506,3084,1055000,3523,2015,690000,989,"Sydney - Baulkham Hills and Hawkesbury",1868,471,3084
1488,2487,804,"116",650,3450,618000,4800,2015,469039,816,"Sydney - Blacktown",946,154,3433
6765,116,1975,"117",121,6081,1200000,1767,2015,735000,2012,"Sydney - City and Inner South",5964,1854,6080
3375,197,734,"118",394,1105,1993500,2294,2015,836000,801,"Sydney - Eastern Suburbs",900,341,1097
5291,1005,1345,"119",369,4974,928000,5215,2015,600000,1402,"Sydney - Inner South West",3807,976,4812
4181,218,1232,"120",221,3818,1451750,2600,2015,702000,1258,"Sydney - Inner West",3587,1011,3805
6218,494,1406,"121",664,3363,1680000,4777,2015,745000,1514,"Sydney - North Sydney and Hornsby",2762,742,3256
2624,385,522,"122",359,991,1360000,2994,2015,699500,526,"Sydney - Northern Beaches",606,163,991
1082,1950,703,"123",565,2738,540000,4942,2015,385000,731,"Sydney - Outer South West",703,138,2653
1580,1674,589,"124",496,2244,545000,5707,2015,410000,606,"Sydney - Outer West and Blue Mountains",540,94,2214
6340,975,1792,"125",246,7264,830000,4065,2015,570000,1798,"Sydney - Parramatta",6240,1547,7215
2464,292,763,"126",157,2312,1415500,1830,2015,712250,773,"Sydney - Ryde",2001,606,2293
1877,3328,1112,"127",890,4475,650000,4508,2015,425000,1145,"Sydney - South West",1041,222,4369
1905,356,339,"128",199,869,1000000,2412,2015,641000,357,"Sydney - Sutherland",472,139,828
449,1291,376,"201",354,1434,292500,2640,2015,244000,385,"Ballarat",139,22,1430
375,1211,363,"202",352,1292,330000,2196,2015,255000,381,"Bendigo",47,11,1258
1242,2652,969,"203",865,3265,411750,5009,2015,325000,1001,"Geelong",539,105,3191
402,1177,351,"204",344,1231,275000,2391,2015,208000,368,"Hume",48,7,1225
720,1915,568,"205",550,2052,270000,4867,2015,237750,597,"Latrobe - Gippsland",103,18,2018
14523,613,5143,"206",735,16572,1002000,4637,2015,528000,5245,"Melbourne - Inner",15949,4408,16562
4239,1125,1863,"207",881,4804,1300000,5125,2015,620000,1878,"Melbourne - Inner East",3659,982,4784
5870,1045,1821,"208",817,4457,1100000,4997,2015,561500,1839,"Melbourne - Inner South",3406,1004,4451
2853,3636,1535,"209",1009,6331,521500,6454,2015,421000,1574,"Melbourne - North East",2606,525,6242
1921,2897,1056,"210",792,4352,445000,5383,2015,388000,1082,"Melbourne - North West",1411,265,4308
2965,1593,888,"211",578,3034,595000,7181,2015,445000,909,"Melbourne - Outer East",1432,310,3025
3768,5723,2103,"212",1630,8038,465000,11515,2015,405000,2128,"Melbourne - South East",2280,473,8003
3294,5122,1833,"213",1364,7360,415000,11519,2015,365000,1845,"Melbourne - West",2227,469,7349
1872,1309,683,"214",593,1754,480000,6577,2015,351000,703,"Mornington Peninsula",442,90,1751
377,574,180,"215",179,587,190000,2372,2015,179950,196,"North West",4,null,578
269,552,184,"216",184,563,250000,1627,2015,215000,196,"Shepparton",6,1,558
242,503,185,"217",175,546,265000,1610,2015,245000,197,"Warrnambool and South West",41,10,544
1225,1226,523,"301",366,1965,505000,4385,2015,395000,536,"Brisbane - East",738,158,1964
2022,671,622,"302",251,2457,518000,3505,2015,403500,636,"Brisbane - North",1778,371,2449
2997,966,1196,"303",486,4183,610000,5210,2015,415000,1218,"Brisbane - South",3197,710,4163
1152,416,369,"304",214,1185,619000,2840,2015,460000,418,"Brisbane - West",663,155,1079
5983,370,2881,"305",449,9338,840000,3018,2015,490000,2901,"Brisbane Inner City",8968,2432,9338
2000,1148,380,"306",362,1241,380000,3698,2015,220000,411,"Cairns",64,18,1212
92,428,143,"307",126,513,260000,1483,2015,248500,151,"Darling Downs - Maranoa",82,17,510
378,776,269,"308",240,925,340500,2494,2015,310000,293,"Central Queensland",138,28,914
11255,2725,1600,"309",849,5551,539000,8318,2015,370000,1631,"Gold Coast",2774,751,5499
902,2340,687,"310",535,3335,340000,5464,2015,324000,731,"Ipswich",908,152,3248
1499,2178,569,"311",493,2644,377000,5354,2015,250000,588,"Logan - Beaudesert",454,76,2632
432,487,199,"312",176,588,375000,1529,2015,300000,215,"Mackay - Isaac - Whitsunday",91,23,578
1264,1289,397,"313",310,1828,378250,4370,2015,315000,423,"Moreton Bay - North",539,87,1828
966,1658,560,"314",402,2690,451000,3412,2015,351000,603,"Moreton Bay - South",932,158,2590
50,92,43,"315",30,202,256500,502,2015,367500,75,"Queensland - Outback",31,13,123
4027,2764,1008,"316",861,3498,505000,6870,2015,370000,1029,"Sunshine Coast",730,146,3494
669,876,357,"317",264,1395,369000,3064,2015,299000,375,"Toowoomba",495,93,1371
691,1043,394,"318",313,1609,345000,3016,2015,290000,434,"Townsville",439,81,1482
594,1398,387,"319",363,1557,287500,4732,2015,260000,407,"Wide Bay",145,24,1543
2107,1051,876,"401",457,2987,617000,3679,2015,400000,894,"Adelaide - Central and Hills",1933,419,2984
1024,2318,498,"402",477,2565,337850,5866,2015,242000,521,"Adelaide - North",152,22,2470
1601,1338,479,"403",360,2010,425000,5210,2015,347500,496,"Adelaide - South",598,119,1936
1544,902,380,"404",244,1594,475000,2713,2015,335000,390,"Adelaide - West",661,136,1563
91,667,165,"405",164,675,260000,1817,2015,170000,173,"Barossa - Yorke - Mid North",7,1,674
172,404,108,"406",106,424,258000,737,2015,197750,118,"South Australia - Outback",6,2,410
333,1080,278,"407",269,1145,270000,3042,2015,175000,292,"South Australia - South East",47,8,1127
488,1908,602,"501",591,1994,415000,2691,2015,339500,619,"Bunbury",67,11,1975
374,1570,421,"502",408,1668,415000,1850,2015,325000,429,"Mandurah",81,13,1651
2195,538,1162,"503",535,2444,1250000,1792,2015,520000,1130,"Perth - Inner",1891,627,2429
933,3222,962,"504",799,4080,530000,3571,2015,395000,1013,"Perth - North East",711,163,3933
2154,4935,1694,"505",1419,6572,570000,7910,2015,444000,1778,"Perth - North West",1332,275,6267
2250,4736,1964,"506",1236,7709,525000,6274,2015,440000,2013,"Perth - South East",2801,727,7537
