rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, yr, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, sa4_code_2016, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, rent_mortgage_payments_census_average_monthly_household_payment, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm
1183,91.2,8.8,5.9,94.1,2016,64198,"101",1819,1805,11478
1489,88.0,12.0,7.0,93.0,2016,91458,"102",3029,1890,18823
1023,90.6,9.4,5.1,94.9,2016,58731,"103",1566,1625,9814
1253,87.2,12.8,5.8,94.2,2016,38965,"104",1525,1568,8011
869,91.9,8.1,3.9,96.1,2016,31285,"105",1164,1386,5795
1243,89.4,10.6,6.4,93.6,2016,73714,"106",2173,1801,12422
1427,87.7,12.3,6.5,93.5,2016,76430,"107",3410,2019,18948
1195,88.1,11.9,5.6,94.4,2016,64385,"108",2006,1556,12325
933,90.9,9.1,4.7,95.3,2016,34872,"109",814,1429,5554
987,89.6,10.4,4.7,95.3,2016,51015,"110",1574,1498,9319
1406,88.4,11.6,6.0,94.0,2016,99810,"111",3443,1878,24421
1396,86.6,13.4,6.9,93.1,2016,67166,"112",2420,1716,15568
980,91.4,8.6,4.5,95.5,2016,43498,"113",1336,1511,7229
1291,90.0,10.0,6.3,93.7,2016,45209,"114",1046,1757,6410
2326,94.5,5.5,10.4,89.6,2016,55837,"115",1475,2596,8429
1590,87.8,12.2,10.4,89.6,2016,68938,"116",6943,2203,19770
2331,75.5,24.5,5.6,94.4,2016,49057,"117",12307,2614,55064
2516,81.4,18.6,5.6,94.4,2016,53489,"118",5639,2950,32236
1781,83.3,16.7,9.3,90.7,2016,103925,"119",19646,2263,49323
2224,84.1,15.9,7.1,92.9,2016,57993,"120",8484,2666,31976
2511,88.5,11.5,7.0,93.0,2016,94493,"121",6261,2823,37647
2532,89.4,10.6,8.2,91.8,2016,58079,"122",3147,2870,20844
1509,89.6,10.4,10.7,89.3,2016,60898,"123",3541,2092,13258
1546,88.8,11.2,8.6,91.4,2016,78435,"124",3285,2029,16505
1737,82.7,17.3,9.0,91.0,2016,76850,"125",16021,2190,39189
2069,86.1,13.9,7.7,92.3,2016,39283,"126",3708,2567,16250
1558,84.3,15.7,11.0,89.0,2016,71803,"127",11297,2127,26304
1987,91.9,8.1,8.7,91.3,2016,55003,"128",1963,2559,14679
1039,90.5,9.5,6.0,94.0,2016,46232,"201",1171,1457,8812
1080,90.8,9.2,6.1,93.9,2016,44848,"202",1159,1491,8129
1249,90.1,9.9,6.2,93.8,2016,79001,"203",2040,1692,15598
1029,92.1,7.9,6.0,94.0,2016,50958,"204",1157,1471,8234
958,91.6,8.4,5.9,94.1,2016,82318,"205",1800,1433,13379
1852,80.0,20.0,4.6,95.4,2016,122173,"206",13934,2335,95146
1834,89.6,10.4,7.0,93.0,2016,90572,"207",3903,2439,26081
1806,89.6,10.4,6.6,93.4,2016,104181,"208",4013,2369,32629
1444,90.8,9.2,8.9,91.1,2016,121244,"209",6371,1959,30937
1412,91.0,9.0,9.9,90.1,2016,83562,"210",6250,1849,21546
1469,93.2,6.8,8.8,91.2,2016,133749,"211",4146,1889,27166
1475,90.1,9.9,10.2,89.8,2016,171967,"212",12835,1868,43369
1395,90.1,9.9,9.6,90.4,2016,165973,"213",12434,1836,43911
1357,90.1,9.9,7.7,92.3,2016,83731,"214",2026,1797,14882
845,92.4,7.6,4.4,95.6,2016,44257,"215",1288,1227,7938
938,91.9,8.1,5.7,94.3,2016,36344,"216",1285,1417,6694
911,92.7,7.3,5.4,94.6,2016,36823,"217",892,1393,6129
1654,89.9,10.1,7.0,93.0,2016,63140,"301",1395,2052,9877
1552,88.4,11.6,5.6,94.4,2016,58156,"302",2002,2024,13447
1645,87.6,12.4,6.7,93.3,2016,84544,"303",4259,2087,20888
1813,89.6,10.4,5.6,94.4,2016,47667,"304",1359,2236,8607
1888,82.1,17.9,4.3,95.7,2016,58418,"305",4030,2479,28191
1249,86.5,13.5,6.1,93.9,2016,61442,"306",3425,1694,15571
