grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mn, estimates_personal_income_year_ended_30_june_median_investment, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_3000_pr_wk_pc, estimates_personal_income_year_ended_30_june_median_employee, sa4_code_2016, estm_prsnl_incme_yr_end_30_jne_tl_excl_gvrnmt_pns_alwncs_gni_cf, estimates_personal_income_year_ended_30_june_mean_investment, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_2000_2999_pr_wk_pc, yr, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_1000_1999_pr_wk_pc, estimates_personal_income_year_ended_30_june_mean_employee, ttl_prsnl_incme_wkly_prsns_agd_15_yrs_cnss_ernng_1_499_pr_wk_pc, sa4_name_2016, tl_prsnl_incme_wkly_prsn_agd_15_yrs_cns_erng_500_999_pr_wk_pc, grss_cptl_gns_rprtd_txpyrs_yr_endd_30_jne_by_mdn
31097,400,null,43631,"101",0.46,6888,null,2014,null,51112,null,"Capital Region",null,3244
25441,269,null,43321,"102",0.452,6146,null,2014,null,51140,null,"Central Coast",null,3012
27063,331,null,42290,"103",0.473,6633,null,2014,null,50523,null,"Central West",null,2441
22975,379,null,36831,"104",0.477,5755,null,2014,null,43135,null,"Coffs Harbour - Grafton",null,2603
30421,306,null,41266,"105",0.483,6652,null,2014,null,47055,null,"Far West and Orana",null,2355
40347,263,null,45982,"106",0.487,5798,null,2014,null,57393,null,"Hunter Valley exc Newcastle",null,2700
33219,407,null,46714,"107",0.455,6008,null,2014,null,56112,null,"Illawarra",null,3080
22340,460,null,36913,"108",0.49,6280,null,2014,null,43208,null,"Mid North Coast",null,2985
26400,434,null,39857,"109",0.466,8090,null,2014,null,44894,null,"Murray",null,2354
38013,394,null,39300,"110",0.511,7450,null,2014,null,44795,null,"New England and North West",null,2815
33040,367,null,46388,"111",0.464,7382,null,2014,null,55105,null,"Newcastle and Lake Macquarie",null,2955
30178,434,null,37064,"112",0.487,7917,null,2014,null,43714,null,"Richmond - Tweed",null,3209
32430,421,null,41471,"113",0.449,7745,null,2014,null,46121,null,"Riverina",null,2327
34385,534,null,38810,"114",0.494,9468,null,2014,null,47616,null,"Southern Highlands and Shoalhaven",null,3603
39636,540,null,52496,"115",0.495,10099,null,2014,null,66897,null,"Sydney - Baulkham Hills and Hawkesbury",null,3637
25518,153,null,48804,"116",0.385,1754,null,2014,null,52960,null,"Sydney - Blacktown",null,3031
57504,311,null,47593,"117",0.5,8809,null,2014,null,61349,null,"Sydney - City and Inner South",null,3016
91963,988,null,53827,"118",0.588,27614,null,2014,null,78521,null,"Sydney - Eastern Suburbs",null,4380
35492,449,null,44005,"119",0.446,5904,null,2014,null,51520,null,"Sydney - Inner South West",null,3110
52296,576,null,52310,"120",0.505,10892,null,2014,null,67664,null,"Sydney - Inner West",null,3372
59355,1220,null,58781,"121",0.58,21657,null,2014,null,87923,null,"Sydney - North Sydney and Hornsby",null,3573
53105,816,null,51057,"122",0.545,17483,null,2014,null,73226,null,"Sydney - Northern Beaches",null,3579
29182,167,null,48223,"123",0.398,3597,null,2014,null,53610,null,"Sydney - Outer South West",null,3627
30394,212,null,48839,"124",0.409,4414,null,2014,null,54352,null,"Sydney - Outer West and Blue Mountains",null,3375
29564,311,null,45039,"125",0.433,4016,null,2014,null,51397,null,"Sydney - Parramatta",null,2811
50338,756,null,51885,"126",0.52,11620,null,2014,null,66919,null,"Sydney - Ryde",null,2914
43135,281,null,44179,"127",0.402,3877,null,2014,null,48772,null,"Sydney - South West",null,6139
81290,508,null,52504,"128",0.473,9845,null,2014,null,64407,null,"Sydney - Sutherland",null,3196
24559,310,null,41250,"201",0.452,7610,null,2014,null,46868,null,"Ballarat",null,2552
23778,367,null,41346,"202",0.453,7793,null,2014,null,46908,null,"Bendigo",null,2316
34543,401,null,42908,"203",0.465,10160,null,2014,null,50845,null,"Geelong",null,2716
20850,357,null,40437,"204",0.45,7061,null,2014,null,45160,null,"Hume",null,2299
27116,387,null,39733,"205",0.479,6997,null,2014,null,48819,null,"Latrobe - Gippsland",null,2554
73094,460,null,49454,"206",0.518,15762,null,2014,null,63109,null,"Melbourne - Inner",null,3323
46295,1387,null,47376,"207",0.557,18721,null,2014,null,66564,null,"Melbourne - Inner East",null,3077
54685,942,null,50000,"208",0.53,18439,null,2014,null,67454,null,"Melbourne - Inner South",null,2973
29671,321,null,45730,"209",0.438,7104,null,2014,null,53079,null,"Melbourne - North East",null,2405
28154,252,null,45004,"210",0.429,6450,null,2014,null,51113,null,"Melbourne - North West",null,2642
27361,344,null,45386,"211",0.444,7397,null,2014,null,52942,null,"Melbourne - Outer East",null,2194
30109,237,null,43305,"212",0.431,6073,null,2014,null,48937,null,"Melbourne - South East",null,2573
28123,162,null,46307,"213",0.409,3974,null,2014,null,51765,null,"Melbourne - West",null,2805
39765,317,null,42625,"214",0.461,10568,null,2014,null,49967,null,"Mornington Peninsula",null,3010
22312,528,null,36470,"215",0.463,7692,null,2014,null,40387,null,"North West",null,2131
23817,395,null,38486,"216",0.459,8094,null,2014,null,42695,null,"Shepparton",null,2120
40681,527,null,37906,"217",0.467,8343,null,2014,null,43176,null,"Warrnambool and South West",null,3421
25075,241,null,48844,"301",0.451,8411,null,2014,null,58620,null,"Brisbane - East",null,2684
21195,246,null,51394,"302",0.433,6408,null,2014,null,59486,null,"Brisbane - North",null,2290
25752,314,null,46725,"303",0.465,7887,null,2014,null,55926,null,"Brisbane - South",null,2497
36410,478,null,52000,"304",0.521,12175,null,2014,null,68164,null,"Brisbane - West",null,2719
