Median_Tot_prsnl_inc_weekly, Average_num_psns_per_bedroom, Median_age_persons, SA4_NAME11, Median_Tot_fam_inc_weekly, SA4_MAIN11, Median_mortgage_repay_monthly, Median_Tot_hhd_inc_weekly, Average_household_size, Median_rent_weekly
551,1.1,42,"Capital Region",1314,"101",1614,1033,2.4,210
502,1.1,41,"Central Coast",1284,"102",1820,1003,2.5,270
496,1.1,39,"Central West",1254,"103",1460,973,2.5,180
434,1.1,44,"Coffs Harbour - Grafton",998,"104",1452,835,2.4,240
481,1.1,39,"Far West and Orana",1121,"105",1200,893,2.4,145
528,1.1,38,"Hunter Valley exc Newcastle",1407,"106",1733,1158,2.6,240
493,1.1,38,"Illawarra",1413,"107",1950,1116,2.6,250
405,1.1,47,"Mid North Coast",940,"108",1412,774,2.3,210
501,1.1,41,"Murray",1189,"109",1300,921,2.4,165
479,1.1,40,"New England and North West",1123,"110",1300,902,2.4,175
536,1.1,39,"Newcastle and Lake Macquarie",1443,"111",1733,1133,2.5,265
455,1.1,44,"Richmond - Tweed",1061,"112",1600,865,2.4,270
521,1.1,38,"Riverina",1263,"113",1387,994,2.5,180
463,1.1,46,"Southern Highlands and Shoalhaven",1097,"114",1604,896,2.4,230
705,1.1,38,"Sydney - Baulkham Hills and Hawkesbury",2163,"115",2500,1994,3.1,440
566,1.1,32,"Sydney - Blacktown",1493,"116",2100,1388,3.1,300
797,1.2,33,"Sydney - City and Inner South",2039,"117",2500,1569,2.1,430
869,1.2,35,"Sydney - Eastern Suburbs",2368,"118",2817,1806,2.3,470
484,1.2,36,"Sydney - Inner South West",1315,"119",2127,1169,2.8,335
723,1.2,36,"Sydney - Inner West",1985,"120",2500,1662,2.5,415
897,1.1,38,"Sydney - North Sydney and Hornsby",2558,"121",2708,2111,2.6,466
779,1.1,39,"Sydney - Northern Beaches",2188,"122",2800,1812,2.6,460
591,1.1,34,"Sydney - Outer South West",1543,"123",1980,1389,3.0,277
613,1.1,36,"Sydney - Outer West and Blue Mountains",1580,"124",1950,1347,2.7,290
501,1.2,33,"Sydney - Parramatta",1360,"125",2037,1237,2.9,339
659,1.1,38,"Sydney - Ryde",1991,"126",2400,1603,2.7,380
426,1.2,34,"Sydney - South West",1235,"127",2000,1171,3.2,290
718,1.1,39,"Sydney - Sutherland",2013,"128",2400,1672,2.7,370
482,1.1,40,"Ballarat",1188,"201",1300,935,2.4,195
500,1.1,40,"Bendigo",1220,"202",1300,963,2.4,200
528,1.1,39,"Geelong",1366,"203",1517,1079,2.5,240
507,1.1,42,"Hume",1192,"204",1300,942,2.4,185
473,1.1,42,"Latrobe - Gippsland",1155,"205",1300,908,2.4,180
796,1.2,33,"Melbourne - Inner",2070,"206",2167,1506,2.1,356
636,1.1,39,"Melbourne - Inner East",1983,"207",2167,1561,2.6,350
691,1.1,39,"Melbourne - Inner South",1995,"208",2167,1491,2.5,330
558,1.1,36,"Melbourne - North East",1527,"209",1855,1323,2.8,300
499,1.1,36,"Melbourne - North West",1366,"210",1733,1210,2.9,290
596,1.1,38,"Melbourne - Outer East",1599,"211",1733,1353,2.7,295
516,1.1,35,"Melbourne - South East",1377,"212",1733,1232,2.9,290
551,1.1,33,"Melbourne - West",1427,"213",1733,1278,2.8,275
551,1.1,40,"Mornington Peninsula",1372,"214",1694,1098,2.5,260
466,1.1,42,"North West",1075,"215",1083,853,2.4,150
480,1.1,40,"Shepparton",1128,"216",1300,914,2.5,180
504,1.1,41,"Warrnambool and South West",1217,"217",1257,951,2.4,175
636,1.1,38,"Brisbane - East",1668,"301",2050,1416,2.7,350
675,1.1,37,"Brisbane - North",1712,"302",2000,1396,2.5,330
634,1.1,34,"Brisbane - South",1722,"303",2000,1463,2.7,350
718,1.1,35,"Brisbane - West",2171,"304",2167,1805,2.7,370
858,1.1,32,"Brisbane Inner City",2349,"305",2318,1763,2.3,370
567,1.1,37,"Cairns",1294,"306",1647,1057,2.5,240
504,1.1,39,"Darling Downs - Maranoa",1156,"307",1300,955,2.5,180
633,1.1,35,"Fitzroy",1676,"308",1780,1406,2.6,250
570,1.1,38,"Gold Coast",1377,"309",2058,1173,2.5,350
557,1.1,33,"Ipswich",1348,"310",1733,1190,2.8,280
571,1.1,33,"Logan - Beaudesert",1370,"311",1800,1246,2.9,300
709,1.1,35,"Mackay",1825,"312",2013,1572,2.7,270
508,1.1,39,"Moreton Bay - North",1223,"313",1798,1022,2.6,290
694,1.1,35,"Moreton Bay - South",1761,"314",2000,1600,2.9,340
588,1.2,32,"Queensland - Outback",1357,"315",1500,1215,2.7,100
519,1.1,42,"Sunshine Coast",1219,"316",1863,1010,2.5,320
557,1.1,36,"Toowoomba",1345,"317",1535,1095,2.5,240
633,1.1,34,"Townsville",1533,"318",1733,1295,2.6,260
407,1.1,43,"Wide Bay",944,"319",1322,801,2.4,220
626,1.1,40,"Adelaide - Central and Hills",1735,"401",1733,1290,2.4,275
515,1.1,36,"Adelaide - North",1252,"402",1470,1039,2.5,230
569,1.1,40,"Adelaide - South",1439,"403",1538,1130,2.4,250
520,1.1,40,"Adelaide - West",1317,"404",1625,996,2.3,230
458,1.1,44,"Barossa - Yorke - Mid North",1091,"405",1114,862,2.3,160
528,1.1,38,"South Australia - Outback",1269,"406",1278,989,2.4,150
468,1.1,43,"South Australia - South East",1060,"407",1155,855,2.3,160
570,1.1,39,"Bunbury",1455,"501",1733,1194,2.5,250
492,1.0,42,"Mandurah",1261,"502",1950,992,2.4,270
867,1.1,36,"Perth - Inner",2574,"503",2423,1816,2.3,360
653,1.1,36,"Perth - North East",1661,"504",1950,1395,2.6,300
685,1.1,36,"Perth - North West",1823,"505",2000,1518,2.7,340
647,1.1,35,"Perth - South East",1686,"506",1950,1406,2.6,310
666,1.1,36,"Perth - South West",1812,"507",2000,1477,2.6,310
849,1.1,33,"Western Australia - Outback",1869,"508",1770,1611,2.7,150
526,1.1,41,"Western Australia - Wheat Belt",1221,"509",1300,973,2.4,150
556,1.1,39,"Hobart",1359,"601",1430,1065,2.4,235
470,1.1,41,"Launceston and North East",1140,"602",1300,897,2.4,190
428,1.1,44,"South East",998,"603",1127,826,2.4,170
456,1.1,41,"West and North West",1090,"604",1192,867,2.4,170
897,1.2,33,"Darwin",2040,"701",2167,1806,2.7,360
477,1.4,29,"Northern Territory - Outback",1248,"702",1777,1450,3.2,70
918,1.1,34,"Australian Capital Territory",2277,"801",2167,1920,2.6,380
813,1.3,32,"Other Territories",1734,"901",867,1676,2.9,86
