migration_stream_skilled, migration_stream_family, lga_name, lga_code, migration_stream_humanitarian_a
4,19,"Bass Coast (S)","20740",0
5,23,"Baw Baw (S)","20830",0
102,79,"Bayside (C)","20910",0
6,4,"Benalla (RC)","21010",0
288,235,"Boroondara (C)","21110",5
246,327,"Brimbank (C)","21180",7
7,6,"Buloke (S)","21270",0
8,13,"Campaspe (S)","21370",0
78,80,"Cardinia (S)","21450",4
331,410,"Casey (C)","21610",7
6,6,"Central Goldfields (S)","21670",0
6,5,"Colac-Otway (S)","21750",0
0,8,"Corangamite (S)","21830",0
204,231,"Darebin (C)","21890",16
27,15,"East Gippsland (S)","22110",0
30,84,"Frankston (C)","22170",0
0,4,"Gannawarra (S)","22250",0
193,179,"Greater Geelong (C)","22750",4
32,47,"Greater Shepparton (C)","22830",4
4,14,"Hepburn (S)","22910",0
4,4,"Hindmarsh (S)","22980",0
113,117,"Hobsons Bay (C)","23110",4
9,4,"Horsham (RC)","23190",0
245,215,"Hume (C)","23270",37
4,4,"Indigo (S)","23350",0
175,151,"Kingston (C)","23430",0
82,135,"Knox (C)","23670",4
30,31,"Latrobe (C)","23810",0
0,4,"Loddon (S)","23940",0
14,22,"Macedon Ranges (S)","24130",0
131,187,"Manningham (C)","24210",4
0,5,"Mansfield (S)","24250",0
163,152,"Maribyrnong (C)","24330",4
44,91,"Maroondah (C)","24410",0
804,654,"Melbourne (C)","24600",4
149,236,"Melton (S)","24650",5
17,37,"Mildura (RC)","24780",8
6,30,"Mitchell (S)","24850",0
7,12,"Moira (S)","24900",0
491,301,"Monash (C)","24970",4
176,186,"Moonee Valley (C)","25060",4
13,14,"Moorabool (S)","25150",0
386,340,"Moreland (C)","25250",9
25,81,"Mornington Peninsula (S)","25340",0
6,6,"Mount Alexander (S)","25430",0
4,5,"Moyne (S)","25490",0
0,9,"Murrindindi (S)","25620",0
4,19,"Nillumbik (S)","25710",0
12,6,"Northern Grampians (S)","25810",0
296,318,"Port Phillip (C)","25900",4
4,4,"Pyrenees (S)","25990",0
4,4,"Queenscliffe (B)","26080",0
4,13,"South Gippsland (S)","26170",0
6,7,"Southern Grampians (S)","26260",0
232,225,"Stonnington (C)","26350",0
7,6,"Strathbogie (S)","26430",0
7,32,"Surf Coast (S)","26490",0
11,13,"Swan Hill (RC)","26610",4
0,4,"Towong (S)","26670",0
19,18,"Wangaratta (RC)","26700",0
23,14,"Warrnambool (C)","26730",0
17,16,"Wellington (S)","26810",0
0,4,"West Wimmera (S)","26890",0
306,279,"Whitehorse (C)","26980",4
347,281,"Whittlesea (C)","27070",8
17,17,"Wodonga (RC)","27170",0
613,442,"Wyndham (C)","27260",15
130,260,"Yarra (C)","27350",4
26,85,"Yarra Ranges (S)","27450",0
5,15,"East Pilbara (S)","53220",0
5,7,"Esperance (S)","53290",0
0,4,"Exmouth (S)","53360",0
29,42,"Fremantle (C)","53430",0
16,25,"Geraldton-Greenough (C)","53520",0
4,4,"Gingin (S)","53570",0
0,4,"Gnowangerup (S)","53640",0
4,0,"Three Springs (S)","58260",0
4,4,"Barcaldine (R)","30410",0
0,4,"Blackall Tambo (R)","30760",0
4,4,"McKinlay (S)","34800",0
4,4,"Kellerberrin (S)","54410",0
0,4,"Kojonup (S)","54550",0
4,0,"Kondinin (S)","54620",0
26,57,"Mandurah (C)","55110",0
4,5,"Manjimup (S)","55180",0
0,4,"Meekatharra (S)","55250",0
83,88,"Melville (C)","55320",4
0,4,"Merredin (S)","55460",0
4,4,"Pingelly (S)","57140",0
0,4,"Plantagenet (S)","57210",0
4,0,"Mullewa (S)","56020",0
4,7,"Mundaring (S)","56090",0
18,23,"Port Hedland (T)","57280",0
50,80,"Rockingham (C)","57490",0
13,28,"Roebourne (S)","57560",0
0,5,"Murray (S)","56230",0
4,6,"George Town (M)","62210",0
5,4,"Glamorgan/Spring Bay (M)","62410",0
14,7,"Broken Hill (C)","11250",0
4,4,"Weipa (T)","37300",0
11,12,"Western Downs (R)","37310",0
28,15,"Greater Taree (C)","13380",0
17,13,"Griffith (C)","13450",4
5,4,"Gunnedah (A)","13550",0
0,4,"Guyra (A)","13650",0
15,24,"Hawkesbury (C)","13800",4
4,0,"Hay (A)","13850",0
387,189,"Holroyd (C)","13950",7
290,193,"Hornsby (A)","14000",4
4,5,"Hunters Hill (A)","14100",0
383,193,"Hurstville (C)","14150",4
4,8,"Inverell (A)","14200",0
0,4,"Jerilderie (A)","14250",0
4,0,"Junee (A)","14300",0
4,8,"Kempsey (A)","14350",0
0,16,"Kiama (A)","14400",0
72,34,"Kogarah (C)","14450",0
164,134,"Ku-ring-gai (A)","14500",4
4,4,"Kyogle (A)","14550",0
4,5,"Lachlan (A)","14600",0
33,82,"Lake Macquarie (C)","14650",0
75,67,"Lane Cove (A)","14700",4
0,4,"Leeton (A)","14750",0
47,107,"Leichhardt (A)","14800",0
14,35,"Lismore (C)","14850",0
7,9,"Lithgow (C)","14870",0
134,281,"Liverpool (C)","14900",6
4,0,"Liverpool Plains (A)","14920",0
17,38,"Maitland (C)","15050",0
150,112,"Manly (A)","15150",0
120,242,"Marrickville (A)","15200",4
11,14,"Mid-Western Regional (A)","15270",0
15,9,"Moree Plains (A)","15300",0
75,53,"Mosman (A)","15350",0
4,0,"Murray (A)","15500",0
4,4,"Murrumbidgee (A)","15550",0
