sa4_code,year,sa4_name,attached_dwelling_median_sale_price,house_median_sale_price,total_residential_building_value,new_other_residential_building_value,new_houses_value,total_building_value,median_rent_weekly,latitude,longitude
101,2011,Capital Region,,,285191.2,36028.5,202170.7,402348.8,210.0,-35.56480661904707,149.24496858054158
101,2012,Capital Region,,,254730.3,32068.6,183096.0,377282.3,,-35.56480661904707,149.24496858054158
101,2013,Capital Region,,,308541.5,19808.2,244087.3,536742.7,,-35.56480661904707,149.24496858054158
101,2014,Capital Region,373500.0,254000.0,440298.3,43691.9,345237.0,574972.1,,-35.56480661904707,149.24496858054158
101,2015,Capital Region,380000.0,270000.0,473559.1,25914.7,396610.7,654433.1,,-35.56480661904707,149.24496858054158
101,2016,Capital Region,397250.0,275000.0,472295.3,27160.9,389016.1,556553.9,250.0,-35.56480661904707,149.24496858054158
101,2017,Capital Region,438000.0,300000.0,512220.7,49919.0,407373.5,684079.5,,-35.56480661904707,149.24496858054158
101,2018,Capital Region,485000.0,330000.0,529796.7,50956.6,412400.9,679355.9,,-35.56480661904707,149.24496858054158
101,2019,Capital Region,490000.0,340000.0,405592.2,58470.3,286897.7,864357.3,,-35.56480661904707,149.24496858054158
101,2020,Capital Region,,,550585.4,91528.8,387442.6,772545.4,,-35.56480661904707,149.24496858054158
101,2021,Capital Region,,,,,,,320.0,-35.56480661904707,149.24496858054158
102,2011,Central Coast,,,219283.8,22555.8,135395.8,337067.0,270.0,-33.307973616228665,151.28548871775425
102,2012,Central Coast,,,241041.7,40830.7,138213.2,365816.1,,-33.307973616228665,151.28548871775425
102,2013,Central Coast,,,329572.6,115947.5,142682.6,513650.7,,-33.307973616228665,151.28548871775425
102,2014,Central Coast,435000.0,338000.0,398699.6,111662.2,199338.6,617515.9,,-33.307973616228665,151.28548871775425
102,2015,Central Coast,490000.0,385000.0,551957.3,144208.2,321566.3,687981.9,,-33.307973616228665,151.28548871775425
102,2016,Central Coast,555000.0,430000.0,487130.5,144296.0,249058.7,814884.9,350.0,-33.307973616228665,151.28548871775425
102,2017,Central Coast,625000.0,480000.0,667280.9,329752.4,253396.1,932152.2,,-33.307973616228665,151.28548871775425
102,2018,Central Coast,665000.0,522000.0,562853.1,212056.6,260558.4,787522.7,,-33.307973616228665,151.28548871775425
102,2019,Central Coast,637000.0,503000.0,423183.8,131838.1,203336.9,789760.5,,-33.307973616228665,151.28548871775425
102,2020,Central Coast,,,557046.8,100162.4,337859.7,823609.5,,-33.307973616228665,151.28548871775425
102,2021,Central Coast,,,,,,,400.0,-33.307973616228665,151.28548871775425
103,2011,Central West,,,269806.0,23569.8,215512.1,447517.7,180.0,-33.21695267227074,148.35583329698485
103,2012,Central West,,,282577.8,22755.0,225979.0,497661.9,,-33.21695267227074,148.35583329698485
103,2013,Central West,,,285578.1,23475.6,231529.6,517935.4,,-33.21695267227074,148.35583329698485
103,2014,Central West,300000.0,230000.0,298733.7,28428.3,240003.1,498583.0,,-33.21695267227074,148.35583329698485
103,2015,Central West,298750.0,239000.0,381423.4,99783.5,253408.2,625565.3,,-33.21695267227074,148.35583329698485
103,2016,Central West,319000.0,270000.0,330442.4,31191.6,267362.4,471409.2,235.0,-33.21695267227074,148.35583329698485
103,2017,Central West,335000.0,240000.0,342663.1,53137.4,247681.2,502616.7,,-33.21695267227074,148.35583329698485
103,2018,Central West,360000.0,280000.0,299594.3,31909.1,222229.2,815744.4,,-33.21695267227074,148.35583329698485
103,2019,Central West,370000.0,285000.0,312859.4,30811.6,240207.5,483550.0,,-33.21695267227074,148.35583329698485
103,2020,Central West,,,413911.6,34095.0,306408.3,607971.0,,-33.21695267227074,148.35583329698485
103,2021,Central West,,,,,,,290.0,-33.21695267227074,148.35583329698485
104,2011,Coffs Harbour - Grafton,,,125984.4,15229.9,82817.5,227979.3,240.0,-29.81602459218733,152.77389091419155
104,2012,Coffs Harbour - Grafton,,,128643.8,16530.4,89201.3,252500.3,,-29.81602459218733,152.77389091419155
104,2013,Coffs Harbour - Grafton,,,125933.6,10887.6,91310.5,173777.1,,-29.81602459218733,152.77389091419155
104,2014,Coffs Harbour - Grafton,366750.0,275000.0,176040.9,21787.9,127549.7,229638.0,,-29.81602459218733,152.77389091419155
104,2015,Coffs Harbour - Grafton,376900.0,272500.0,202984.9,54221.3,122397.9,259097.4,,-29.81602459218733,152.77389091419155
104,2016,Coffs Harbour - Grafton,410000.0,311000.0,200444.2,30530.8,145024.4,262881.1,288.0,-29.81602459218733,152.77389091419155
104,2017,Coffs Harbour - Grafton,437500.0,345000.0,200704.3,30006.0,141864.1,770468.9,,-29.81602459218733,152.77389091419155
104,2018,Coffs Harbour - Grafton,467000.0,352000.0,267026.1,91680.1,145367.5,557633.8,,-29.81602459218733,152.77389091419155
104,2019,Coffs Harbour - Grafton,477500.0,350000.0,177555.4,25138.2,119355.0,283299.0,,-29.81602459218733,152.77389091419155
104,2020,Coffs Harbour - Grafton,,,312106.2,79916.0,186820.3,512711.1,,-29.81602459218733,152.77389091419155
104,2021,Coffs Harbour - Grafton,,,,,,,350.0,-29.81602459218733,152.77389091419155
105,2011,Far West and Orana,,,92616.9,6557.7,72534.1,190123.7,145.0,-30.98607110510004,145.02700095626975
105,2012,Far West and Orana,,,107907.8,21074.2,76707.0,151858.3,,-30.98607110510004,145.02700095626975
105,2013,Far West and Orana,,,127959.9,23842.7,93608.1,264172.1,,-30.98607110510004,145.02700095626975
105,2014,Far West and Orana,215500.0,260000.0,118978.2,11956.9,93837.1,212209.5,,-30.98607110510004,145.02700095626975
105,2015,Far West and Orana,230000.0,252300.0,141662.8,23811.8,106243.0,224632.4,,-30.98607110510004,145.02700095626975
105,2016,Far West and Orana,250000.0,270000.0,132211.1,21062.3,96941.6,406026.9,190.0,-30.98607110510004,145.02700095626975
105,2017,Far West and Orana,245000.0,274000.0,150535.7,40485.3,99574.6,387860.6,,-30.98607110510004,145.02700095626975
105,2018,Far West and Orana,241750.0,275000.0,125743.6,21668.0,91212.3,279632.8,,-30.98607110510004,145.02700095626975
105,2019,Far West and Orana,250000.0,255000.0,98732.4,17849.0,67111.8,204781.2,,-30.98607110510004,145.02700095626975
105,2020,Far West and Orana,,,177022.3,24053.4,132368.3,354371.0,,-30.98607110510004,145.02700095626975
105,2021,Far West and Orana,,,,,,,250.0,-30.98607110510004,145.02700095626975
106,2011,Hunter Valley exc Newcastle,,,456428.7,53420.1,361965.8,728588.0,240.0,-32.354809754967796,150.98493896132547
106,2012,Hunter Valley exc Newcastle,,,502383.2,80954.6,378810.7,712266.9,,-32.354809754967796,150.98493896132547
106,2013,Hunter Valley exc Newcastle,,,498286.0,69944.1,381596.7,689327.8,,-32.354809754967796,150.98493896132547
106,2014,Hunter Valley exc Newcastle,377000.0,303500.0,411310.2,50488.1,317045.0,657153.8,,-32.354809754967796,150.98493896132547
106,2015,Hunter Valley exc Newcastle,375000.0,315000.0,523390.0,50012.3,421113.7,1256864.8,,-32.354809754967796,150.98493896132547
106,2016,Hunter Valley exc Newcastle,400000.0,310000.0,539248.4,52244.4,441172.5,1169441.1,290.0,-32.354809754967796,150.98493896132547
106,2017,Hunter Valley exc Newcastle,425000.0,341600.0,677862.4,87644.8,535483.4,1119691.0,,-32.354809754967796,150.98493896132547
106,2018,Hunter Valley exc Newcastle,443000.0,346750.0,696265.4,56571.8,590281.1,1095933.4,,-32.354809754967796,150.98493896132547
106,2019,Hunter Valley exc Newcastle,450000.0,347500.0,704708.0,75999.1,573373.9,1446456.8,,-32.354809754967796,150.98493896132547
106,2020,Hunter Valley exc Newcastle,,,986766.9,213403.4,698663.7,1305397.1,,-32.354809754967796,150.98493896132547
106,2021,Hunter Valley exc Newcastle,,,,,,,350.0,-32.354809754967796,150.98493896132547
107,2011,Illawarra,,,276235.1,69734.6,151212.5,965284.5,250.0,-34.43464746920167,150.77112148604593
107,2012,Illawarra,,,325093.1,52639.2,217613.7,527652.4,,-34.43464746920167,150.77112148604593
107,2013,Illawarra,,,421756.5,141484.9,228683.3,734142.1,,-34.43464746920167,150.77112148604593
107,2014,Illawarra,480000.0,377750.0,603748.7,277720.7,260193.0,859168.1,,-34.43464746920167,150.77112148604593
107,2015,Illawarra,535000.0,430000.0,720232.8,369985.1,282399.6,1206035.8,,-34.43464746920167,150.77112148604593
107,2016,Illawarra,614000.0,479000.0,620903.9,196838.4,345111.0,847363.2,330.0,-34.43464746920167,150.77112148604593
107,2017,Illawarra,700000.0,530000.0,958285.7,545295.0,314597.2,1209938.2,,-34.43464746920167,150.77112148604593
107,2018,Illawarra,740000.0,580000.0,989327.5,447934.4,448444.8,1378165.0,,-34.43464746920167,150.77112148604593
107,2019,Illawarra,705038.0,570000.0,729962.1,319025.8,330776.9,943552.3,,-34.43464746920167,150.77112148604593
107,2020,Illawarra,,,973989.2,393593.0,456732.7,1302974.7,,-34.43464746920167,150.77112148604593
107,2021,Illawarra,,,,,,,400.0,-34.43464746920167,150.77112148604593
108,2011,Mid North Coast,,,218836.4,27026.4,161178.1,296396.1,210.0,-31.56475375295849,152.3410754731416
108,2012,Mid North Coast,,,221098.5,14919.3,174833.4,369760.0,,-31.56475375295849,152.3410754731416
108,2013,Mid North Coast,,,247867.9,28833.7,187092.7,388820.1,,-31.56475375295849,152.3410754731416
108,2014,Mid North Coast,360000.0,269000.0,332293.7,43983.0,252897.9,493957.6,,-31.56475375295849,152.3410754731416
108,2015,Mid North Coast,380000.0,280000.0,364196.2,43069.7,281876.0,477125.9,,-31.56475375295849,152.3410754731416
108,2016,Mid North Coast,410000.0,317750.0,401754.2,69190.5,287958.9,570847.6,270.0,-31.56475375295849,152.3410754731416
108,2017,Mid North Coast,445000.0,345000.0,412553.1,43583.7,320469.3,716387.5,,-31.56475375295849,152.3410754731416
108,2018,Mid North Coast,483000.0,360000.0,401074.3,75155.7,276837.8,608282.5,,-31.56475375295849,152.3410754731416
108,2019,Mid North Coast,472500.0,376000.0,368073.9,53632.1,261454.2,589943.0,,-31.56475375295849,152.3410754731416
108,2020,Mid North Coast,,,545407.4,110903.3,360994.0,671314.8,,-31.56475375295849,152.3410754731416
108,2021,Mid North Coast,,,,,,,330.0,-31.56475375295849,152.3410754731416
109,2011,Murray,,,148484.0,13099.0,110578.5,211418.6,165.0,-34.42273850528109,144.04336870909952
109,2012,Murray,,,133601.0,3785.7,106217.3,197884.4,,-34.42273850528109,144.04336870909952
109,2013,Murray,,,189322.3,21233.6,142044.4,318269.4,,-34.42273850528109,144.04336870909952
109,2014,Murray,250000.0,185000.0,240510.8,18564.0,187875.5,354075.1,,-34.42273850528109,144.04336870909952
109,2015,Murray,260000.0,180000.0,265380.2,14439.8,214745.9,340011.2,,-34.42273850528109,144.04336870909952
109,2016,Murray,270000.0,190500.0,245383.4,6089.5,204722.8,378131.6,200.0,-34.42273850528109,144.04336870909952
109,2017,Murray,276000.0,202000.0,228712.2,13755.7,181592.1,325464.2,,-34.42273850528109,144.04336870909952
109,2018,Murray,290000.0,210000.0,239717.2,13427.0,193644.5,298409.5,,-34.42273850528109,144.04336870909952
109,2019,Murray,285000.0,213750.0,283496.0,21806.4,232698.7,388342.7,,-34.42273850528109,144.04336870909952
109,2020,Murray,,,425810.8,7317.2,373781.8,558253.0,,-34.42273850528109,144.04336870909952
109,2021,Murray,,,,,,,250.0,-34.42273850528109,144.04336870909952
110,2011,New England and North West,,,171019.8,13964.6,130746.3,340552.2,175.0,-30.06343259481106,150.70196291955014
110,2012,New England and North West,,,197906.3,14892.3,149391.1,448593.7,,-30.06343259481106,150.70196291955014
110,2013,New England and North West,,,228109.7,12153.4,179877.3,346330.0,,-30.06343259481106,150.70196291955014
110,2014,New England and North West,265000.0,205000.0,242726.2,23111.4,190767.1,389523.1,,-30.06343259481106,150.70196291955014
110,2015,New England and North West,283000.0,215000.0,242835.5,30805.4,188682.7,352546.5,,-30.06343259481106,150.70196291955014
110,2016,New England and North West,296500.0,249000.0,207353.4,17685.2,163356.6,361418.3,220.0,-30.06343259481106,150.70196291955014
