,Year,SA4 Code,Household Stress - Census Households with rent payments greater than or equal to 30% of household income (%),Rent and Mortgage Payments - Census Average monthly household mortgage payment ($),Rent and Mortgage Payments - Census Average monthly household rental payment ($),Housing Suitability - Occupied private dwellings - Census Dwellings with extra bedrooms needed (no.),Household Stress - Census Households with mortgage repayments greater than or equal to 30% of household income (%),Building Approvals - Year ended 30 June Value of residential building ($m),Building Approvals - Year ended 30 June Private sector dwellings excluding houses (no.),Building Approvals - Year ended 30 June Total private sector dwelling units (no.),Building Approvals - Year ended 30 June Total value of private sector dwelling units ($m),Building Approvals - Year ended 30 June Private sector houses (no.),Building Approvals - Year ended 30 June Total dwelling units (no.),Building Approvals - Year ended 30 June Value of private sector houses ($m),Building Approvals - Year ended 30 June Value of private sector dwellings excluding houses ($m),SA4 Name,Value of New Other Residential Building ($000),Total Dwelling Number,Number of New Houses,Number of New Other Residential Buildings,Value of Total Residential Buildings ($000),Value of Alterations ($000),Value of New Houses ($000),SA4 Name 2011,Average number of Persons per bedroom,Median total family income weekly,Median total household income weekly,Median age of persons,Median total personal income weekly,Average household size,Median rent weekly,Median mortgage repayment monthly,Estimates of Personal Income - Year ended 30 June Total income (excl. Government pensions and allowances) - Gini coefficient,Estimates of Personal Income - Year ended 30 June Mean employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers - Mean ($),Estimates of Personal Income - Year ended 30 June Mean investment income ($),Estimates of Personal Income - Year ended 30 June Median employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers  - Median ($),Estimates of Personal Income - Year ended 30 June Median investment income ($),State and Territory Id,House Median Sales Price,House No of Transactions,Attached dwellings Median Sales Price,Attached dwellings No of Transactions
0,2011,101,8.3,1809.0,988.0,,8.1,,,,,,,,,Capital Region,36028.5,990.0,753.0,224.0,285191.2,46992.0,202170.7,Capital Region,1.1,1314.0,1033.0,42.0,551.0,2.4,210.0,1614.0,,,,,,,,1,,,,
1,2011,102,11.5,1922.0,1172.0,,10.2,,,,,,,,,Central Coast,22555.8,647.0,499.0,132.0,219283.8,61332.2,135395.8,Central Coast,1.1,1284.0,1003.0,41.0,502.0,2.5,270.0,1820.0,,,,,,,,1,,,,
2,2011,103,7.9,1602.0,842.0,,6.7,,,,,,,,,Central West,23569.8,912.0,777.0,124.0,269806.0,30724.1,215512.1,Central West,1.1,1254.0,973.0,39.0,496.0,2.5,180.0,1460.0,,,,,,,,1,,,,
3,2011,104,13.0,1573.0,1045.0,,8.5,,,,,,,,,Coffs Harbour - Grafton,15229.9,419.0,337.0,71.0,125984.4,27936.9,82817.5,Coffs Harbour - Grafton,1.1,998.0,835.0,44.0,434.0,2.4,240.0,1452.0,,,,,,,,1,,,,
4,2011,105,6.8,1371.0,662.0,,5.2,,,,,,,,,Far West and Orana,6557.7,318.0,280.0,33.0,92616.9,13525.1,72534.1,Far West and Orana,1.1,1121.0,893.0,39.0,481.0,2.4,145.0,1200.0,,,,,,,,1,,,,
5,2011,106,8.8,1823.0,1051.0,,8.1,,,,,,,,,Hunter Valley exc Newcastle,53420.1,1782.0,1447.0,330.0,456428.7,41042.9,361965.8,Hunter Valley exc Newcastle,1.1,1407.0,1158.0,38.0,528.0,2.6,240.0,1733.0,,,,,,,,1,,,,
6,2011,107,11.0,2024.0,1111.0,,9.2,,,,,,,,,Illawarra,69734.6,896.0,524.0,367.0,276235.1,55288.0,151212.5,Illawarra,1.1,1413.0,1116.0,38.0,493.0,2.6,250.0,1950.0,,,,,,,,1,,,,
7,2011,108,11.6,1577.0,964.0,,7.9,,,,,,,,,Mid North Coast,27026.4,809.0,631.0,170.0,218836.4,30632.0,161178.1,Mid North Coast,1.1,940.0,774.0,47.0,405.0,2.3,210.0,1412.0,,,,,,,,1,,,,
8,2011,109,8.3,1441.0,785.0,,6.8,,,,,,,,,Murray,13099.0,464.0,413.0,47.0,148484.0,24806.5,110578.5,Murray,1.1,1189.0,921.0,41.0,501.0,2.4,165.0,1300.0,,,,,,,,1,,,,
9,2011,110,9.1,1460.0,792.0,,6.4,,,,,,,,,New England and North West,13964.6,580.0,501.0,75.0,171019.8,26309.0,130746.3,New England and North West,1.1,1123.0,902.0,40.0,479.0,2.4,175.0,1300.0,,,,,,,,1,,,,
10,2011,111,10.0,1878.0,1146.0,,8.1,,,,,,,,,Newcastle and Lake Macquarie,66872.9,1202.0,813.0,359.0,394863.6,91777.3,236213.5,Newcastle and Lake Macquarie,1.1,1443.0,1133.0,39.0,536.0,2.5,265.0,1733.0,,,,,,,,1,,,,
11,2011,112,14.0,1751.0,1181.0,,10.1,,,,,,,,,Richmond - Tweed,32398.7,606.0,450.0,144.0,209172.9,49457.6,127316.5,Richmond - Tweed,1.1,1061.0,865.0,44.0,455.0,2.4,270.0,1600.0,,,,,,,,1,,,,
12,2011,113,8.1,1519.0,823.0,,6.8,,,,,,,,,Riverina,10238.4,452.0,393.0,59.0,139853.0,25625.6,103989.1,Riverina,1.1,1263.0,994.0,38.0,521.0,2.5,180.0,1387.0,,,,,,,,1,,,,
13,2011,114,9.9,1763.0,1018.0,,9.2,,,,,,,,,Southern Highlands and Shoalhaven,23279.1,642.0,528.0,110.0,198190.4,35426.5,139484.8,Southern Highlands and Shoalhaven,1.1,1097.0,896.0,46.0,463.0,2.4,230.0,1604.0,,,,,,,,1,,,,
14,2011,115,4.8,2616.0,1793.0,,14.9,,,,,,,,,Sydney - Baulkham Hills and Hawkesbury,193499.1,1069.0,538.0,524.0,443706.0,49717.9,200489.0,Sydney - Baulkham Hills and Hawkesbury,1.1,2163.0,1994.0,38.0,705.0,3.1,440.0,2500.0,,,,,,,,1,,,,
15,2011,116,10.8,2168.0,1232.0,,14.8,,,,,,,,,Sydney - Blacktown,47355.8,1421.0,1112.0,308.0,342970.9,17417.2,278197.9,Sydney - Blacktown,1.1,1493.0,1388.0,32.0,566.0,3.1,300.0,2100.0,,,,,,,,1,,,,
16,2011,117,21.9,2669.0,1811.0,,8.9,,,,,,,,,Sydney - City and Inner South,957933.4,3690.0,103.0,3462.0,1106015.5,116926.4,31155.7,Sydney - City and Inner South,1.2,2039.0,1569.0,33.0,797.0,2.1,430.0,2500.0,,,,,,,,1,,,,
17,2011,118,17.6,2959.0,1963.0,,9.0,,,,,,,,,Sydney - Eastern Suburbs,102955.4,639.0,346.0,276.0,499475.1,189013.4,207506.4,Sydney - Eastern Suburbs,1.2,2368.0,1806.0,35.0,869.0,2.3,470.0,2817.0,,,,,,,,1,,,,
18,2011,119,14.0,2265.0,1413.0,,12.8,,,,,,,,,Sydney - Inner South West,420614.2,2398.0,684.0,1685.0,720628.7,81274.6,218739.9,Sydney - Inner South West,1.2,1315.0,1169.0,36.0,484.0,2.8,335.0,2127.0,,,,,,,,1,,,,
19,2011,120,14.4,2691.0,1790.0,,10.4,,,,,,,,,Sydney - Inner West,519001.3,2322.0,182.0,2128.0,705990.4,95204.7,91784.3,Sydney - Inner West,1.2,1985.0,1662.0,36.0,723.0,2.5,415.0,2500.0,,,,,,,,1,,,,
20,2011,121,11.1,2893.0,2006.0,,10.9,,,,,,,,,Sydney - North Sydney and Hornsby,501672.4,2037.0,360.0,1640.0,1017323.2,318091.1,197559.8,Sydney - North Sydney and Hornsby,1.1,2558.0,2111.0,38.0,897.0,2.6,466.0,2708.0,,,,,,,,1,,,,
21,2011,122,10.6,2887.0,1961.0,,13.1,,,,,,,,,Sydney - Northern Beaches,128890.5,733.0,294.0,432.0,476133.3,164579.2,182663.7,Sydney - Northern Beaches,1.1,2188.0,1812.0,39.0,779.0,2.6,460.0,2800.0,,,,,,,,1,,,,
22,2011,123,8.9,2062.0,1167.0,,14.5,,,,,,,,,Sydney - Outer South West,53105.2,1403.0,1053.0,277.0,356212.6,29896.6,273210.9,Sydney - Outer South West,1.1,1543.0,1389.0,34.0,591.0,3.0,277.0,1980.0,,,,,,,,1,,,,
23,2011,124,9.9,1999.0,1215.0,,12.4,,,,,,,,,Sydney - Outer West and Blue Mountains,40081.3,1194.0,968.0,213.0,348506.3,54895.4,253529.6,Sydney - Outer West and Blue Mountains,1.1,1580.0,1347.0,36.0,613.0,2.7,290.0,1950.0,,,,,,,,1,,,,
24,2011,125,14.9,2183.0,1381.0,,12.4,,,,,,,,,Sydney - Parramatta,725308.0,4237.0,690.0,3505.0,936684.6,32658.8,178717.8,Sydney - Parramatta,1.2,1360.0,1237.0,33.0,501.0,2.9,339.0,2037.0,,,,,,,,1,,,,
25,2011,126,11.8,2607.0,1630.0,,10.3,,,,,,,,,Sydney - Ryde,259424.6,1230.0,273.0,952.0,427762.5,56938.2,111399.7,Sydney - Ryde,1.1,1991.0,1603.0,38.0,659.0,2.7,380.0,2400.0,,,,,,,,1,,,,
