,Year,SA4 Code,Household Stress - Census Households with rent payments greater than or equal to 30% of household income (%),Rent and Mortgage Payments - Census Average monthly household mortgage payment ($),Rent and Mortgage Payments - Census Average monthly household rental payment ($),Housing Suitability - Occupied private dwellings - Census Dwellings with extra bedrooms needed (no.),Household Stress - Census Households with mortgage repayments greater than or equal to 30% of household income (%),Building Approvals - Year ended 30 June Value of residential building ($m),Building Approvals - Year ended 30 June Private sector dwellings excluding houses (no.),Building Approvals - Year ended 30 June Total private sector dwelling units (no.),Building Approvals - Year ended 30 June Total value of private sector dwelling units ($m),Building Approvals - Year ended 30 June Private sector houses (no.),Building Approvals - Year ended 30 June Total dwelling units (no.),Building Approvals - Year ended 30 June Value of private sector houses ($m),Building Approvals - Year ended 30 June Value of private sector dwellings excluding houses ($m),SA4 Name,Value of New Other Residential Building ($000),Total Dwelling Number,Number of New Houses,Number of New Other Residential Buildings,Value of Total Residential Buildings ($000),Value of Alterations ($000),Value of New Houses ($000),SA4 Name 2011,Average number of Persons per bedroom,Median total family income weekly,Median total household income weekly,Median age of persons,Median total personal income weekly,Average household size,Median rent weekly,Median mortgage repayment monthly,Estimates of Personal Income - Year ended 30 June Total income (excl. Government pensions and allowances) - Gini coefficient,Estimates of Personal Income - Year ended 30 June Mean employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers - Mean ($),Estimates of Personal Income - Year ended 30 June Mean investment income ($),Estimates of Personal Income - Year ended 30 June Median employee income ($),Gross Capital Gains reported by taxpayers - Year ended 30 June Gross Capital Gains reported by taxpayers  - Median ($),Estimates of Personal Income - Year ended 30 June Median investment income ($),State and Territory Id,House Median Sales Price,House No of Transactions,Attached dwellings Median Sales Price,Attached dwellings No of Transactions,City
15,2011,116,10.8,2168.0,1232.0,,14.8,,,,,,,,,Sydney - Blacktown,47355.8,1421.0,1112.0,308.0,342970.9,17417.2,278197.9,Sydney - Blacktown,1.1,1493.0,1388.0,32.0,566.0,3.1,300.0,2100.0,,,,,,,,1,,,,,Sydney
16,2011,117,21.9,2669.0,1811.0,,8.9,,,,,,,,,Sydney - City and Inner South,957933.4,3690.0,103.0,3462.0,1106015.5,116926.4,31155.7,Sydney - City and Inner South,1.2,2039.0,1569.0,33.0,797.0,2.1,430.0,2500.0,,,,,,,,1,,,,,Sydney
17,2011,118,17.6,2959.0,1963.0,,9.0,,,,,,,,,Sydney - Eastern Suburbs,102955.4,639.0,346.0,276.0,499475.1,189013.4,207506.4,Sydney - Eastern Suburbs,1.2,2368.0,1806.0,35.0,869.0,2.3,470.0,2817.0,,,,,,,,1,,,,,Sydney
18,2011,119,14.0,2265.0,1413.0,,12.8,,,,,,,,,Sydney - Inner South West,420614.2,2398.0,684.0,1685.0,720628.7,81274.6,218739.9,Sydney - Inner South West,1.2,1315.0,1169.0,36.0,484.0,2.8,335.0,2127.0,,,,,,,,1,,,,,Sydney
19,2011,120,14.4,2691.0,1790.0,,10.4,,,,,,,,,Sydney - Inner West,519001.3,2322.0,182.0,2128.0,705990.4,95204.7,91784.3,Sydney - Inner West,1.2,1985.0,1662.0,36.0,723.0,2.5,415.0,2500.0,,,,,,,,1,,,,,Sydney
20,2011,121,11.1,2893.0,2006.0,,10.9,,,,,,,,,Sydney - North Sydney and Hornsby,501672.4,2037.0,360.0,1640.0,1017323.2,318091.1,197559.8,Sydney - North Sydney and Hornsby,1.1,2558.0,2111.0,38.0,897.0,2.6,466.0,2708.0,,,,,,,,1,,,,,Sydney
22,2011,123,8.9,2062.0,1167.0,,14.5,,,,,,,,,Sydney - Outer South West,53105.2,1403.0,1053.0,277.0,356212.6,29896.6,273210.9,Sydney - Outer South West,1.1,1543.0,1389.0,34.0,591.0,3.0,277.0,1980.0,,,,,,,,1,,,,,Sydney
26,2011,127,13.2,2095.0,1225.0,,15.0,,,,,,,,,Sydney - South West,82347.1,1885.0,1380.0,485.0,453477.1,21597.7,349532.3,Sydney - South West,1.2,1235.0,1171.0,34.0,426.0,3.2,290.0,2000.0,,,,,,,,1,,,,,Sydney
27,2011,128,7.7,2538.0,1595.0,,12.5,,,,,,,,,Sydney - Sutherland,23110.0,352.0,265.0,77.0,186510.6,62300.9,101099.8,Sydney - Sutherland,1.1,2013.0,1672.0,39.0,718.0,2.7,370.0,2400.0,,,,,,,,1,,,,,Sydney
33,2011,206,17.1,2383.0,1573.0,,7.0,,,,,,,,,Melbourne - Inner,2810011.8,10875.0,502.0,10107.0,3603978.2,524014.6,269951.8,Melbourne - Inner,1.2,2070.0,1506.0,33.0,796.0,2.1,356.0,2167.0,,,,,,,,2,,,,,Melbourne
