sa4_code,year,sa4_name,attached_dwelling_median_sale_price,house_median_sale_price,total_residential_building_value,new_other_residential_building_value,new_houses_value,total_building_value,median_rent_weekly,latitude,longitude
117,2011,Sydney - City and Inner South,,,1106015.5,957933.4,31155.7,2833804.5,430.0,-33.91745736779888,151.19257052341402
117,2012,Sydney - City and Inner South,,,1350982.1,1197879.8,29698.3,3045459.2,,-33.91745736779888,151.19257052341402
117,2013,Sydney - City and Inner South,,,1427509.8,1293193.8,26073.8,6416637.0,,-33.91745736779888,151.19257052341402
117,2014,Sydney - City and Inner South,1005000.0,660000.0,2000748.9,1798469.2,33652.0,4052173.2,,-33.91745736779888,151.19257052341402
117,2015,Sydney - City and Inner South,1200000.0,735000.0,3004876.0,2773498.5,27284.7,5653366.0,,-33.91745736779888,151.19257052341402
117,2016,Sydney - City and Inner South,1365000.0,820000.0,2867573.0,2551591.5,48529.4,6863326.0,550.0,-33.91745736779888,151.19257052341402
117,2017,Sydney - City and Inner South,1555000.0,888000.0,2498282.5,2264031.5,51601.2,5274113.0,,-33.91745736779888,151.19257052341402
117,2018,Sydney - City and Inner South,1518000.0,880000.0,1258638.2,1046351.5,48177.8,5293320.0,,-33.91745736779888,151.19257052341402
117,2019,Sydney - City and Inner South,1355000.0,840000.0,701309.6,459012.7,36685.1,3662525.0,,-33.91745736779888,151.19257052341402
117,2020,Sydney - City and Inner South,,,1731755.6,1463555.0,53168.0,6253873.7,,-33.91745736779888,151.19257052341402
117,2021,Sydney - City and Inner South,,,,,,,550.0,-33.91745736779888,151.19257052341402
118,2011,Sydney - Eastern Suburbs,,,499475.1,102955.4,207506.4,1119780.4,470.0,-33.915782702854976,151.2482630823201
118,2012,Sydney - Eastern Suburbs,,,696664.0,253866.3,231964.2,1005369.1,,-33.915782702854976,151.2482630823201
118,2013,Sydney - Eastern Suburbs,,,833452.1,388677.9,236040.0,1362877.8,,-33.915782702854976,151.2482630823201
118,2014,Sydney - Eastern Suburbs,1765000.0,744000.0,799482.6,331931.2,184124.3,1022722.8,,-33.915782702854976,151.2482630823201
118,2015,Sydney - Eastern Suburbs,1993500.0,836000.0,820639.5,316604.0,191897.8,1215289.2,,-33.915782702854976,151.2482630823201
118,2016,Sydney - Eastern Suburbs,2298500.0,900000.0,989118.0,442404.2,227568.2,1646045.9,580.0,-33.915782702854976,151.2482630823201
118,2017,Sydney - Eastern Suburbs,2600000.0,1100000.0,1075007.8,484534.7,222085.9,1407139.6,,-33.915782702854976,151.2482630823201
118,2018,Sydney - Eastern Suburbs,2600000.0,1100000.0,1082133.8,512276.6,217594.2,1368667.5,,-33.915782702854976,151.2482630823201
118,2019,Sydney - Eastern Suburbs,2450000.0,1027661.0,760522.9,252850.5,183450.7,2614901.2,,-33.915782702854976,151.2482630823201
118,2020,Sydney - Eastern Suburbs,,,802321.5,229207.3,145574.8,1107234.8,,-33.915782702854976,151.2482630823201
118,2021,Sydney - Eastern Suburbs,,,,,,,600.0,-33.915782702854976,151.2482630823201
120,2011,Sydney - Inner West,,,705990.4,519001.3,91784.3,797569.1,415.0,-33.8733267017301,151.1188315703099
120,2012,Sydney - Inner West,,,685011.0,566680.9,38279.1,853651.9,,-33.8733267017301,151.1188315703099
120,2013,Sydney - Inner West,,,666581.6,483372.6,65727.1,880562.5,,-33.8733267017301,151.1188315703099
120,2014,Sydney - Inner West,1220000.0,625000.0,1226414.8,951699.7,87971.0,1429876.5,,-33.8733267017301,151.1188315703099
120,2015,Sydney - Inner West,1451750.0,702000.0,983434.2,664518.9,112887.5,1244377.0,,-33.8733267017301,151.1188315703099
120,2016,Sydney - Inner West,1620000.0,760000.0,1221738.2,899435.0,143089.1,1480008.9,500.0,-33.8733267017301,151.1188315703099
120,2017,Sydney - Inner West,1850000.0,790000.0,1299805.8,960870.6,181213.8,1697073.9,,-33.8733267017301,151.1188315703099
120,2018,Sydney - Inner West,1800000.0,780000.0,674339.1,331383.5,167305.1,1077143.9,,-33.8733267017301,151.1188315703099
120,2019,Sydney - Inner West,1600000.0,750000.0,757211.7,441404.9,131422.0,1397798.1,,-33.8733267017301,151.1188315703099
120,2020,Sydney - Inner West,,,928642.2,530544.5,205796.8,1208799.5,,-33.8733267017301,151.1188315703099
120,2021,Sydney - Inner West,,,,,,,500.0,-33.8733267017301,151.1188315703099
121,2011,Sydney - North Sydney and Hornsby,,,1017323.2,501672.4,197559.8,1630423.8,466.0,-33.69384898353092,151.15991905245693
121,2012,Sydney - North Sydney and Hornsby,,,940255.5,397724.2,240602.8,1466563.1,,-33.69384898353092,151.15991905245693
121,2013,Sydney - North Sydney and Hornsby,,,1670643.1,1100741.8,227648.7,2258487.5,,-33.69384898353092,151.15991905245693
121,2014,Sydney - North Sydney and Hornsby,1410000.0,700000.0,1495806.8,786274.0,287634.5,2143912.5,,-33.69384898353092,151.15991905245693
121,2015,Sydney - North Sydney and Hornsby,1680000.0,745000.0,1993277.0,1142094.4,360944.8,2454926.8,,-33.69384898353092,151.15991905245693
121,2016,Sydney - North Sydney and Hornsby,1835000.0,838000.0,2141134.8,1412312.8,315918.1,2932584.2,555.0,-33.69384898353092,151.15991905245693
121,2017,Sydney - North Sydney and Hornsby,2120000.0,915000.0,1505120.2,748485.3,348867.2,2729919.0,,-33.69384898353092,151.15991905245693
121,2018,Sydney - North Sydney and Hornsby,2134000.0,920000.0,1664000.5,858379.6,350394.1,3034460.2,,-33.69384898353092,151.15991905245693
121,2019,Sydney - North Sydney and Hornsby,1950000.0,875278.0,1161266.8,395362.8,382593.5,2473929.5,,-33.69384898353092,151.15991905245693
121,2020,Sydney - North Sydney and Hornsby,,,1375769.4,459795.5,438822.4,3082537.7,,-33.69384898353092,151.15991905245693
121,2021,Sydney - North Sydney and Hornsby,,,,,,,560.0,-33.69384898353092,151.15991905245693
122,2011,Sydney - Northern Beaches,,,476133.3,128890.5,182663.7,579559.3,460.0,-33.690224039668124,151.24967578352107
122,2012,Sydney - Northern Beaches,,,415061.2,151778.8,120346.1,487277.0,,-33.690224039668124,151.24967578352107
122,2013,Sydney - Northern Beaches,,,409028.8,97262.2,156805.6,486485.9,,-33.690224039668124,151.24967578352107
122,2014,Sydney - Northern Beaches,1200000.0,632000.0,526416.3,160069.0,198986.4,1344434.4,,-33.690224039668124,151.24967578352107
122,2015,Sydney - Northern Beaches,1360000.0,699500.0,647431.9,227781.9,209843.8,1102312.4,,-33.690224039668124,151.24967578352107
122,2016,Sydney - Northern Beaches,1555000.0,785000.0,654799.1,195624.0,227165.0,933952.5,565.0,-33.690224039668124,151.24967578352107
122,2017,Sydney - Northern Beaches,1780000.0,889000.0,751574.1,219052.9,276986.8,992201.1,,-33.690224039668124,151.24967578352107
122,2018,Sydney - Northern Beaches,1800000.0,920000.0,447333.9,86519.3,163731.5,733815.9,,-33.690224039668124,151.24967578352107
122,2019,Sydney - Northern Beaches,1700000.0,855000.0,420776.3,73545.7,186409.7,616469.5,,-33.690224039668124,151.24967578352107
122,2020,Sydney - Northern Beaches,,,840481.0,231236.3,279477.3,1112268.5,,-33.690224039668124,151.24967578352107
122,2021,Sydney - Northern Beaches,,,,,,,625.0,-33.690224039668124,151.24967578352107
126,2011,Sydney - Ryde,,,427762.5,259424.6,111399.7,611192.1,380.0,-33.78735549554608,151.10081960176802
126,2012,Sydney - Ryde,,,462079.8,319891.9,92576.9,1021896.5,,-33.78735549554608,151.10081960176802
126,2013,Sydney - Ryde,,,507109.1,362928.6,98438.2,634122.2,,-33.78735549554608,151.10081960176802
126,2014,Sydney - Ryde,1200000.0,635000.0,715872.3,552138.1,109104.1,863760.3,,-33.78735549554608,151.10081960176802
126,2015,Sydney - Ryde,1415500.0,712250.0,1927148.0,1734727.8,130021.9,2127867.8,,-33.78735549554608,151.10081960176802
126,2016,Sydney - Ryde,1598000.0,791000.0,1110061.2,953529.0,106768.0,1238449.9,470.0,-33.78735549554608,151.10081960176802
126,2017,Sydney - Ryde,1751000.0,775000.0,963691.9,782614.4,116831.8,1272869.4,,-33.78735549554608,151.10081960176802
126,2018,Sydney - Ryde,1776250.0,776000.0,649364.0,439736.5,150435.1,1040243.6,,-33.78735549554608,151.10081960176802
126,2019,Sydney - Ryde,1500000.0,725000.0,754311.3,580162.9,107383.1,1183301.6,,-33.78735549554608,151.10081960176802
126,2020,Sydney - Ryde,,,1061945.1,809256.9,172617.8,2041896.1,,-33.78735549554608,151.10081960176802
126,2021,Sydney - Ryde,,,,,,,480.0,-33.78735549554608,151.10081960176802
128,2011,Sydney - Sutherland,,,186510.6,23110.0,101099.8,293011.5,370.0,-34.07535950199354,151.0631077194213
128,2012,Sydney - Sutherland,,,261269.7,85237.6,111907.3,698223.0,,-34.07535950199354,151.0631077194213
128,2013,Sydney - Sutherland,,,316482.5,110862.2,139693.9,491412.5,,-34.07535950199354,151.0631077194213
128,2014,Sydney - Sutherland,866000.0,552000.0,356936.1,142591.5,139642.0,554327.3,,-34.07535950199354,151.0631077194213
128,2015,Sydney - Sutherland,1000000.0,641000.0,468465.3,222632.2,153870.9,652234.0,,-34.07535950199354,151.0631077194213
128,2016,Sydney - Sutherland,1160000.0,700000.0,1027156.0,721187.5,210307.7,1277308.6,450.0,-34.07535950199354,151.0631077194213
128,2017,Sydney - Sutherland,1297000.0,750000.0,851533.6,547343.3,215993.1,1058245.6,,-34.07535950199354,151.0631077194213
128,2018,Sydney - Sutherland,1300000.0,755000.0,847953.3,637988.1,126432.0,943106.2,,-34.07535950199354,151.0631077194213
128,2019,Sydney - Sutherland,1130000.0,730000.0,558264.5,366441.4,101148.4,924510.9,,-34.07535950199354,151.0631077194213
128,2020,Sydney - Sutherland,,,797132.1,517380.7,153719.8,1071638.7,,-34.07535950199354,151.0631077194213
128,2021,Sydney - Sutherland,,,,,,,500.0,-34.07535950199354,151.0631077194213
206,2011,Melbourne - Inner,,,3603978.2,2810011.8,269951.8,7396271.0,356.0,-37.80018958422797,144.96449061860866
206,2012,Melbourne - Inner,,,2932702.2,2037384.5,271999.1,5016125.0,,-37.80018958422797,144.96449061860866
206,2013,Melbourne - Inner,,,4160523.8,3347206.0,287238.2,6223251.5,,-37.80018958422797,144.96449061860866
206,2014,Melbourne - Inner,875000.0,511000.0,5227196.0,4327396.5,317167.4,7513459.5,,-37.80018958422797,144.96449061860866
206,2015,Melbourne - Inner,1002000.0,528000.0,5050764.0,4023326.5,291270.5,7480457.5,,-37.80018958422797,144.96449061860866
206,2016,Melbourne - Inner,1150000.0,550000.0,5033361.0,3994863.0,395425.8,9422711.0,401.0,-37.80018958422797,144.96449061860866
206,2017,Melbourne - Inner,1315000.0,535000.0,5946418.0,4780438.0,470935.8,12100000.0,,-37.80018958422797,144.96449061860866
206,2018,Melbourne - Inner,1380000.0,542500.0,3146519.8,2124858.0,341888.2,7651915.5,,-37.80018958422797,144.96449061860866
206,2019,Melbourne - Inner,1280000.0,560000.0,4728290.0,3752539.2,342542.7,10400000.0,,-37.80018958422797,144.96449061860866
206,2020,Melbourne - Inner,,,2889247.1,1824037.8,374126.3,6560979.4,,-37.80018958422797,144.96449061860866
206,2021,Melbourne - Inner,,,,,,,401.0,-37.80018958422797,144.96449061860866
207,2011,Melbourne - Inner East,,,1067121.9,358976.2,458215.0,1873263.8,350.0,-37.804765598261795,145.10486620468455
207,2012,Melbourne - Inner East,,,1172159.6,478814.4,446449.6,1496014.8,,-37.804765598261795,145.10486620468455
207,2013,Melbourne - Inner East,,,1494136.2,626537.3,624944.2,1737274.8,,-37.804765598261795,145.10486620468455
207,2014,Melbourne - Inner East,1060000.0,592000.0,1877820.2,964620.5,641180.5,2273557.0,,-37.804765598261795,145.10486620468455
207,2015,Melbourne - Inner East,1300000.0,620000.0,2078321.8,970205.9,797481.9,2500361.2,,-37.804765598261795,145.10486620468455
207,2016,Melbourne - Inner East,1450500.0,660000.0,2138536.5,1132309.8,714636.6,2452760.0,400.0,-37.804765598261795,145.10486620468455
207,2017,Melbourne - Inner East,1581000.0,710000.0,1923097.4,839419.5,817985.7,2559032.8,,-37.804765598261795,145.10486620468455
207,2018,Melbourne - Inner East,1630000.0,705000.0,2189684.2,1231575.1,674755.0,2544554.5,,-37.804765598261795,145.10486620468455
207,2019,Melbourne - Inner East,1420000.0,650000.0,1847570.1,1007683.0,590096.8,2494259.5,,-37.804765598261795,145.10486620468455
207,2020,Melbourne - Inner East,,,1962849.8,1127853.2,574693.0,2416829.3,,-37.804765598261795,145.10486620468455
207,2021,Melbourne - Inner East,,,,,,,441.0,-37.804765598261795,145.10486620468455
208,2011,Melbourne - Inner South,,,1248722.4,582095.9,396260.9,1472178.8,330.0,-37.95031984122697,145.0638284814182
